,timesteps,is_neutral,S_m,J_m,speciation_rate,death_proportion,trait_rate_meta,ecological_strength,intrasp_competition,intersp_competition,mutualism_proportion,generations,community_assembly_model,speciation_model,mutation_rate,alpha,sequence_length,J,m,speciation_prob,generation,_lambda,migrate_calculated,extrate_calculated,trait_rate_local,filtering_optimum,S,abund_h1,abund_h2,abund_h3,abund_h4,pi_h1,pi_h2,pi_h3,pi_h4,mean_pi,std_pi,skewness_pi,kurtosis_pi,median_pi,iqr_pi,mean_dxys,std_dxys,skewness_dxys,kurtosis_dxys,median_dxys,iqr_dxys,trees,trait_h1,trait_h2,trait_h3,trait_h4,mean_local_traits,std_local_traits,skewness_local_traits,kurtosis_local_traits,median_local_traits,iqr_local_traits,mean_regional_traits,std_regional_traits,skewness_regional_traits,kurtosis_regional_traits,median_regional_traits,iqr_regional_traits,reg_loc_mean_trait_dif,reg_loc_std_trait_dif,reg_loc_skewness_trait_dif,reg_loc_kurtosis_trait_dif,reg_loc_median_trait_dif,reg_loc_iqr_trait_dif,abundance_dxy_cor,abundance_pi_cor,abundance_trait_cor,dxy_pi_cor,dxy_trait_cor,pi_trait_cor,SGD_0,SGD_1,SGD_2,SGD_3,SGD_4,SGD_5,SGD_6,SGD_7,SGD_8,SGD_9
emergeant_neutrality-628967865,"[0, 5610, 11220, 16830, 22440, 28050, 33660, 39270, 44880, 50490, 56100, 61710, 67320, 72930, 78540, 84150, 89760, 95370, 100980, 106590, 112200, 117810, 123420, 129030, 134640, 140250, 145860, 151470, 157080, 162690, 168300, 173910, 179520, 185130, 190740, 196350, 201960, 207570, 213180, 218790, 224400, 230010, 235620, 241230, 246840, 252450, 258060, 263670, 269280, 274890, 280500, 286110, 291720, 297330, 302940, 308550, 314160, 319770, 325380, 330990, 336600, 342210, 347820, 353430, 359040, 364650, 370260, 375870, 381480, 387090, 392700, 398310, 403920, 409530, 415140, 420750, 426360, 431970, 437580, 443190, 448800, 454410, 460020, 465630, 471240, 476850, 482460, 488070, 493680, 499290, 504900, 510510, 516120, 521730, 527340, 532950, 538560, 544170, 549780, 555390, 561000, 566610, 572220, 577830, 583440, 589050, 594660, 600270, 605880, 611490, 617100, 622710, 628320, 633930, 639540, 645150, 650760, 656370, 661980, 667590, 673200, 678810, 684420, 690030, 695640]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",250.0,500000.0,2.0,0.7,2.0,0.00143,-1.0,-1.0,0.0,500.0,filtering,point_mutation,0.0,4331.0,570.0,2805.0,0.00538,0.00013,499.82175,1.0,0.00529,0.00307,0.58824,0.18135,19.0,1.18333,1.04719,1.03523,1.03125,6.3036,5.85734,5.55203,5.32144,0.00032,0.00049,1.18412,0.00614,0.0,0.00066,0.00237,0.0031,1.91534,2.82183,0.00158,0.00246,0.0,28.39621,24.14866,22.02396,20.71722,2.87,3.85563,-0.44396,-0.44668,3.5687,4.86004,2.25904,3.35337,-0.08287,-0.06173,2.62798,4.00938,-0.61096,-0.50226,0.36109,0.38495,-0.94072,-0.85066,-0.15283,0.2861,-0.19861,0.29009,-0.1428,-0.24482,12.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
emergeant_neutrality-980391768,"[0, 5634, 11268, 16902, 22536, 28170, 33804, 39438, 45072, 50706, 56340, 61974, 67608, 73242, 78876, 84510, 90144, 95778, 101412, 107046, 112680, 118314, 123948, 129582, 135216, 140850, 146484, 152118, 157752, 163386, 169020, 174654, 180288, 185922, 191556, 197190, 202824, 208458, 214092, 219726, 225360, 230994, 236628, 242262, 247896, 253530, 259164, 264798, 270432, 276066, 281700, 287334, 292968, 298602, 304236, 309870, 315504, 321138, 326772, 332406, 338040, 343674, 349308, 354942, 360576, 366210, 371844, 377478, 383112, 388746, 394380, 400014, 405648, 411282, 416916, 422550, 428184, 433818, 439452, 445086, 450720, 456354, 461988, 467622, 473256, 478890, 484524, 490158, 495792, 501426, 507060, 512694, 518328, 523962, 529596, 535230, 540864, 546498, 552132, 557766, 563400, 569034, 574668, 580302, 585936, 591570, 597204, 602838, 608472, 614106, 619740, 625374, 631008, 636642, 642276, 647910, 653544, 659178, 664812, 670446, 676080, 681714, 687348, 692982, 698616]","[0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",250.0,500000.0,2.0,0.7,2.0,0.01014,-1.0,-1.0,0.0,500.0,filtering,point_mutation,0.0,2126.0,570.0,2817.0,0.00033,0.00086,499.82251,1.0,0.00034,0.0011,0.58824,0.82551,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.01105,0.0,0.0,-3.0,0.01105,0.0,0.0,1.0,1.0,1.0,1.0,0.76005,0.0,0.0,-3.0,0.76005,0.0,0.48232,2.16518,-1.39897,3.09667,0.88806,2.03162,-0.27773,2.16518,-1.39897,6.09667,0.12801,2.03162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
emergeant_neutrality-992051464,"[0, 3626, 7252, 10878, 14504, 18130, 21756, 25382, 29008, 32634, 36260, 39886, 43512, 47138, 50764, 54390, 58016, 61642, 65268, 68894, 72520, 76146, 79772, 83398, 87024, 90650, 94276, 97902, 101528, 105154, 108780, 112406, 116032, 119658, 123284, 126910, 130536, 134162, 137788, 141414, 145040, 148666, 152292, 155918, 159544, 163170, 166796, 170422, 174048, 177674, 181300, 184926, 188552, 192178, 195804, 199430, 203056, 206682, 210308, 213934, 217560, 221186, 224812, 228438, 232064, 235690, 239316, 242942, 246568, 250194, 253820, 257446, 261072, 264698, 268324, 271950, 275576, 279202, 282828, 286454, 290080, 293706, 297332, 300958, 304584, 308210, 311836, 315462, 319088, 322714, 326340, 329966, 333592, 337218, 340844, 344470, 348096, 351722, 355348, 358974, 362600, 366226, 369852, 373478, 377104, 380730, 384356, 387982, 391608, 395234, 398860, 402486, 406112, 409738, 413364, 416990, 420616, 424242, 427868, 431494, 435120, 438746, 442372, 445998, 449624]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.22548,-1.0,-1.0,0.0,500.0,filtering,point_mutation,0.0,3180.0,570.0,1813.0,0.00187,0.00058,499.72421,1.0,0.00188,0.00238,0.58824,0.46312,2.0,1.01919,1.00553,1.00415,1.00369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.00982,0.0,0.0,-3.0,0.00982,0.0,0.0,19.06837,19.06837,19.06837,19.06837,0.5083,0.01655,-0.0,-2.0,0.5083,0.01655,-0.34609,2.24417,-1.02481,1.2884,0.22125,2.18858,-0.85439,2.22763,-1.02481,3.2884,-0.28705,2.17204,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
emergeant_neutrality-372550726,"[0, 5804, 11608, 17412, 23216, 29020, 34824, 40628, 46432, 52236, 58040, 63844, 69648, 75452, 81256, 87060, 92864, 98668, 104472, 110276, 116080, 121884, 127688, 133492, 139296, 145100, 150904, 156708, 162512, 168316, 174120, 179924, 185728, 191532, 197336, 203140, 208944, 214748, 220552, 226356, 232160, 237964, 243768, 249572, 255376, 261180, 266984, 272788, 278592, 284396, 290200, 296004, 301808, 307612, 313416, 319220, 325024, 330828, 336632, 342436, 348240, 354044, 359848, 365652, 371456, 377260, 383064, 388868, 394672, 400476, 406280, 412084, 417888, 423692, 429496, 435300, 441104, 446908, 452712, 458516, 464320, 470124, 475928, 481732, 487536, 493340, 499144, 504948, 510752, 516556, 522360, 528164, 533968, 539772, 545576, 551380, 557184, 562988, 568792, 574596, 580400, 586204, 592008, 597812, 603616, 609420, 615224, 621028, 626832, 632636, 638440, 644244, 650048, 655852, 661656, 667460, 673264, 679068, 684872, 690676, 696480, 702284, 708088, 713892, 719696]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.00134,-1.0,-1.0,0.0,500.0,filtering,point_mutation,0.0,4582.0,570.0,2902.0,0.00023,0.00021,500.0,1.0,0.00024,0.00041,0.58824,0.06328,8.0,1.17696,1.05863,1.04393,1.03896,2.7728,2.59875,2.47234,2.38151,0.00024,0.00035,1.07971,-0.33897,0.0,0.00042,0.0057,0.00343,-0.07332,-1.88128,0.00596,0.00632,0.0,14.62683,12.95456,12.1442,11.41323,-0.12549,1.6206,-0.51696,0.97215,0.01533,0.44954,-0.29067,2.24673,-0.36349,0.28028,0.09456,2.56862,-0.16518,0.62613,0.15347,-0.69187,0.07923,2.11907,0.80241,0.08232,0.05988,0.43644,-0.04762,-0.32733,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
emergeant_neutrality-90266735,"[0, 3108, 6216, 9324, 12432, 15540, 18648, 21756, 24864, 27972, 31080, 34188, 37296, 40404, 43512, 46620, 49728, 52836, 55944, 59052, 62160, 65268, 68376, 71484, 74592, 77700, 80808, 83916, 87024, 90132, 93240, 96348, 99456, 102564, 105672, 108780, 111888, 114996, 118104, 121212, 124320, 127428, 130536, 133644, 136752, 139860, 142968, 146076, 149184, 152292, 155400, 158508, 161616, 164724, 167832, 170940, 174048, 177156, 180264, 183372, 186480, 189588, 192696, 195804, 198912, 202020, 205128, 208236, 211344, 214452, 217560, 220668, 223776, 226884, 229992, 233100, 236208, 239316, 242424, 245532, 248640, 251748, 254856, 257964, 261072, 264180, 267288, 270396, 273504, 276612, 279720, 282828, 285936, 289044, 292152, 295260, 298368, 301476, 304584, 307692, 310800, 313908, 317016, 320124, 323232, 326340, 329448, 332556, 335664, 338772, 341880, 344988, 348096, 351204, 354312, 357420, 360528, 363636, 366744, 369852, 372960, 376068, 379176, 382284, 385392]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]",250.0,500000.0,2.0,0.7,2.0,0.00536,-1.0,-1.0,0.0,500.0,filtering,point_mutation,0.0,2958.0,570.0,1554.0,0.00501,0.00729,500.0,1.0,0.0052,0.01091,0.58824,2.32572,69.0,11.98472,5.35437,4.17272,3.72055,17.97881,15.3246,13.16832,11.60691,0.00028,0.00052,2.43296,7.13024,0.0,0.00035,0.00644,0.0027,-1.25218,0.68363,0.00702,0.0007,0.0,22.00868,9.49437,6.60335,5.56208,1.68599,2.29999,0.41095,4.05621,1.53419,1.0571,1.50794,1.59957,-1.51101,12.61608,1.58524,0.96601,-0.17805,-0.70042,-1.92196,8.55987,0.05105,-0.09108,0.30674,0.43034,-0.18706,0.23362,-0.47392,0.07568,48.0,5.0,5.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0
emergeant_neutrality-653448348,"[0, 9790, 19580, 29370, 39160, 48950, 58740, 68530, 78320, 88110, 97900, 107690, 117480, 127270, 137060, 146850, 156640, 166430, 176220, 186010, 195800, 205590, 215380, 225170, 234960, 244750, 254540, 264330, 274120, 283910, 293700, 303490, 313280, 323070, 332860, 342650, 352440, 362230, 372020, 381810, 391600, 401390, 411180, 420970, 430760, 440550, 450340, 460130, 469920, 479710, 489500, 499290, 509080, 518870, 528660, 538450, 548240, 558030, 567820, 577610, 587400, 597190, 606980, 616770, 626560, 636350, 646140, 655930, 665720, 675510, 685300, 695090, 704880, 714670, 724460, 734250, 744040, 753830, 763620, 773410, 783200, 792990, 802780, 812570, 822360, 832150, 841940, 851730, 861520, 871310, 881100, 890890, 900680, 910470, 920260, 930050, 939840, 949630, 959420, 969210, 979000, 988790, 998580, 1008370, 1018160, 1027950, 1037740, 1047530, 1057320, 1067110, 1076900, 1086690, 1096480, 1106270, 1116060, 1125850, 1135640, 1145430, 1155220, 1165010, 1174800, 1184590, 1194380, 1204170, 1213960]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",250.0,500000.0,2.0,0.7,2.0,0.08299,-1.0,-1.0,0.0,500.0,filtering,point_mutation,0.0,4093.0,570.0,4895.0,0.00219,0.00316,499.89785,1.0,0.00217,0.00435,0.58824,-2.56352,64.0,5.42052,2.75301,2.32597,2.15712,21.33267,18.29185,16.41942,15.22538,0.00039,0.00062,1.6953,2.04388,0.0,0.00062,0.004,0.00202,-0.07625,0.32538,0.00421,0.00114,0.0,24.48068,8.31577,5.15357,4.24552,-2.51002,1.30159,-1.11971,4.87852,-2.43213,0.84155,-7.21592,2.53219,0.96747,0.73886,-7.62539,2.7319,-4.7059,1.2306,2.08717,-4.13966,-5.19326,1.89035,0.02389,0.27009,-0.46096,0.34235,-0.07122,-0.01462,38.0,8.0,5.0,4.0,0.0,4.0,1.0,0.0,3.0,1.0
emergeant_neutrality-86299522,"[0, 8520, 17040, 25560, 34080, 42600, 51120, 59640, 68160, 76680, 85200, 93720, 102240, 110760, 119280, 127800, 136320, 144840, 153360, 161880, 170400, 178920, 187440, 195960, 204480, 213000, 221520, 230040, 238560, 247080, 255600, 264120, 272640, 281160, 289680, 298200, 306720, 315240, 323760, 332280, 340800, 349320, 357840, 366360, 374880, 383400, 391920, 400440, 408960, 417480, 426000, 434520, 443040, 451560, 460080, 468600, 477120, 485640, 494160, 502680, 511200, 519720, 528240, 536760, 545280, 553800, 562320, 570840, 579360, 587880, 596400, 604920, 613440, 621960, 630480, 639000, 647520, 656040, 664560, 673080, 681600, 690120, 698640, 707160, 715680, 724200, 732720, 741240, 749760, 758280, 766800, 775320, 783840, 792360, 800880, 809400, 817920, 826440, 834960, 843480, 852000, 860520, 869040, 877560, 886080, 894600, 903120, 911640, 920160, 928680, 937200, 945720, 954240, 962760, 971280, 979800, 988320, 996840, 1005360, 1013880, 1022400, 1030920, 1039440, 1047960, 1056480]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]",250.0,500000.0,2.0,0.7,2.0,1.47545,-1.0,-1.0,0.0,500.0,filtering,point_mutation,0.0,1270.0,570.0,4260.0,0.00093,0.00089,500.0,1.0,0.00091,0.00152,0.58824,7.18797,11.0,2.36001,2.1223,2.06841,2.03985,1.0,1.0,1.0,1.0,3e-05,0.0001,2.84605,6.1,0.0,0.0,0.00367,0.00081,-0.05362,-1.88867,0.00386,0.00167,0.0,3.67696,2.46003,2.28003,2.21753,4.72217,4.02752,-1.59921,0.65269,6.38187,1.08213,-0.97633,4.44409,0.25365,-1.39143,-3.46312,8.65358,-5.6985,0.41657,1.85286,-2.04412,-9.84498,7.57145,-0.18024,-0.15173,-0.33106,0.10595,-0.13484,0.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
emergeant_neutrality-248309663,"[0, 9994, 19988, 29982, 39976, 49970, 59964, 69958, 79952, 89946, 99940, 109934, 119928, 129922, 139916, 149910, 159904, 169898, 179892, 189886, 199880, 209874, 219868, 229862, 239856, 249850, 259844, 269838, 279832, 289826, 299820, 309814, 319808, 329802, 339796, 349790, 359784, 369778, 379772, 389766, 399760, 409754, 419748, 429742, 439736, 449730, 459724, 469718, 479712, 489706, 499700, 509694, 519688, 529682, 539676, 549670, 559664, 569658, 579652, 589646, 599640, 609634, 619628, 629622, 639616, 649610, 659604, 669598, 679592, 689586, 699580, 709574, 719568, 729562, 739556, 749550, 759544, 769538, 779532, 789526, 799520, 809514, 819508, 829502, 839496, 849490, 859484, 869478, 879472, 889466, 899460, 909454, 919448, 929442, 939436, 949430, 959424, 969418, 979412, 989406, 999400, 1009394, 1019388, 1029382, 1039376, 1049370, 1059364, 1069358, 1079352, 1089346, 1099340, 1109334, 1119328, 1129322, 1139316, 1149310, 1159304, 1169298, 1179292, 1189286, 1199280, 1209274, 1219268, 1229262, 1239256]","[1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",250.0,500000.0,2.0,0.7,2.0,0.01684,-1.0,-1.0,0.0,500.0,filtering,point_mutation,0.0,1006.0,570.0,4997.0,0.00021,0.0024,499.89994,1.0,0.0002,0.0026,0.58824,-1.26486,23.0,2.19601,1.46383,1.34068,1.29805,1.9221,1.8546,1.79954,1.75636,4e-05,0.00014,3.32867,9.79751,0.0,0.0,0.00577,0.00155,-2.47826,5.96537,0.00649,0.00088,0.0,10.16856,6.29286,5.65546,5.3662,-1.20223,0.69812,1.42398,4.37036,-1.20936,0.24678,-1.18318,1.26751,1.72364,7.32274,-1.40954,1.1256,0.01905,0.56939,0.29966,2.95238,-0.20018,0.87882,0.00963,0.36299,-0.61668,0.57695,-0.26465,-0.39808,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
emergeant_neutrality-215645648,"[0, 4950, 9900, 14850, 19800, 24750, 29700, 34650, 39600, 44550, 49500, 54450, 59400, 64350, 69300, 74250, 79200, 84150, 89100, 94050, 99000, 103950, 108900, 113850, 118800, 123750, 128700, 133650, 138600, 143550, 148500, 153450, 158400, 163350, 168300, 173250, 178200, 183150, 188100, 193050, 198000, 202950, 207900, 212850, 217800, 222750, 227700, 232650, 237600, 242550, 247500, 252450, 257400, 262350, 267300, 272250, 277200, 282150, 287100, 292050, 297000, 301950, 306900, 311850, 316800, 321750, 326700, 331650, 336600, 341550, 346500, 351450, 356400, 361350, 366300, 371250, 376200, 381150, 386100, 391050, 396000, 400950, 405900, 410850, 415800, 420750, 425700, 430650, 435600, 440550, 445500, 450450, 455400, 460350, 465300, 470250, 475200, 480150, 485100, 490050, 495000, 499950, 504900, 509850, 514800, 519750, 524700, 529650, 534600, 539550, 544500, 549450, 554400, 559350, 564300, 569250, 574200, 579150, 584100, 589050, 594000, 598950, 603900, 608850, 613800]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",250.0,500000.0,2.0,0.7,2.0,0.31672,-1.0,-1.0,0.0,500.0,filtering,point_mutation,0.0,1772.0,570.0,2475.0,0.00073,0.00154,499.79798,1.0,0.00072,0.00217,0.58824,-1.2086,13.0,5.17028,3.82236,3.38213,3.18404,5.47803,5.11348,4.84837,4.64861,0.00045,0.00056,0.81579,-0.74389,0.0,0.00082,0.00273,0.00155,-0.75311,-0.92758,0.00316,0.00246,0.0,5.58848,4.05225,3.56171,3.34805,-1.21277,0.08161,0.10663,-0.97354,-1.23457,0.09764,-2.32346,1.90455,0.76454,1.88465,-2.34158,2.54368,-1.11069,1.82294,0.65791,2.85818,-1.10701,2.44604,0.11651,0.16026,0.17607,0.736,0.53741,0.65513,7.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0
emergeant_neutrality-343712815,"[0, 2704, 5408, 8112, 10816, 13520, 16224, 18928, 21632, 24336, 27040, 29744, 32448, 35152, 37856, 40560, 43264, 45968, 48672, 51376, 54080, 56784, 59488, 62192, 64896, 67600, 70304, 73008, 75712, 78416, 81120, 83824, 86528, 89232, 91936, 94640, 97344, 100048, 102752, 105456, 108160, 110864, 113568, 116272, 118976, 121680, 124384, 127088, 129792, 132496, 135200, 137904, 140608, 143312, 146016, 148720, 151424, 154128, 156832, 159536, 162240, 164944, 167648, 170352, 173056, 175760, 178464, 181168, 183872, 186576, 189280, 191984, 194688, 197392, 200096, 202800, 205504, 208208, 210912, 213616, 216320, 219024, 221728, 224432, 227136, 229840, 232544, 235248, 237952, 240656, 243360, 246064, 248768, 251472, 254176, 256880, 259584, 262288, 264992, 267696, 270400, 273104, 275808, 278512, 281216, 283920, 286624, 289328, 292032, 294736, 297440, 300144, 302848, 305552, 308256, 310960, 313664, 316368, 319072, 321776, 324480, 327184, 329888, 332592, 335296]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",250.0,500000.0,2.0,0.7,2.0,9.83442,-1.0,-1.0,0.0,500.0,filtering,point_mutation,0.0,4990.0,570.0,1352.0,0.00607,0.0051,500.0,1.0,0.00619,0.0108,0.58824,-0.43901,13.0,2.98755,2.312,2.09359,1.98179,1.4527,1.2758,1.2165,1.19161,0.00022,0.00066,3.07379,7.65471,0.0,0.0,0.0025,0.00077,1.84567,1.86309,0.00211,0.00018,0.0,7.19584,5.39491,4.88616,4.58236,-0.50317,0.18819,0.97473,0.59204,-0.48829,0.16666,-2.93777,2.02023,-0.72689,0.47072,-2.48005,2.84448,-2.4346,1.83204,-1.70161,-0.12132,-1.99176,2.67782,0.22468,0.53095,-0.12169,0.64018,-0.29528,-0.19219,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
