,timesteps,is_neutral,S_m,J_m,speciation_rate,death_proportion,trait_rate_meta,ecological_strength,intrasp_competition,intersp_competition,mutualism_proportion,generations,community_assembly_model,speciation_model,mutation_rate,alpha,sequence_length,J,m,speciation_prob,generation,_lambda,migrate_calculated,extrate_calculated,trait_rate_local,filtering_optimum,S,abund_h1,abund_h2,abund_h3,abund_h4,pi_h1,pi_h2,pi_h3,pi_h4,mean_pi,std_pi,skewness_pi,kurtosis_pi,median_pi,iqr_pi,mean_dxys,std_dxys,skewness_dxys,kurtosis_dxys,median_dxys,iqr_dxys,trees,trait_h1,trait_h2,trait_h3,trait_h4,mean_local_traits,std_local_traits,skewness_local_traits,kurtosis_local_traits,median_local_traits,iqr_local_traits,mean_regional_traits,std_regional_traits,skewness_regional_traits,kurtosis_regional_traits,median_regional_traits,iqr_regional_traits,reg_loc_mean_trait_dif,reg_loc_std_trait_dif,reg_loc_skewness_trait_dif,reg_loc_kurtosis_trait_dif,reg_loc_median_trait_dif,reg_loc_iqr_trait_dif,abundance_dxy_cor,abundance_pi_cor,abundance_trait_cor,dxy_pi_cor,dxy_trait_cor,pi_trait_cor,SGD_0,SGD_1,SGD_2,SGD_3,SGD_4,SGD_5,SGD_6,SGD_7,SGD_8,SGD_9
emergeant_neutrality-434697970,"[0, 6338, 12676, 19014, 25352, 31690, 38028, 44366, 50704, 57042, 63380, 69718, 76056, 82394, 88732, 95070, 101408, 107746, 114084, 120422, 126760, 133098, 139436, 145774, 152112, 158450, 164788, 171126, 177464, 183802, 190140, 196478, 202816, 209154, 215492, 221830, 228168, 234506, 240844, 247182, 253520, 259858, 266196, 272534, 278872, 285210, 291548, 297886, 304224, 310562, 316900, 323238, 329576, 335914, 342252, 348590, 354928, 361266, 367604, 373942, 380280, 386618, 392956, 399294, 405632, 411970, 418308, 424646, 430984, 437322, 443660, 449998, 456336, 462674, 469012, 475350, 481688, 488026, 494364, 500702, 507040, 513378, 519716, 526054, 532392, 538730, 545068, 551406, 557744, 564082, 570420, 576758, 583096, 589434, 595772, 602110, 608448, 614786, 621124, 627462, 633800, 640138, 646476, 652814, 659152, 665490, 671828, 678166, 684504, 690842, 697180, 703518, 709856, 716194, 722532, 728870, 735208, 741546, 747884, 754222, 760560, 766898, 773236, 779574, 785912]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",250.0,500000.0,2.0,0.7,2.0,0.01017,-1.0,-1.0,0.0,500.0,neutral,point_mutation,0.0,2276.0,570.0,3169.0,0.00014,0.00951,499.84222,0.89303,0.00015,0.00965,0.58824,-0.7953,141.0,57.40458,33.57762,23.38147,18.54108,30.10068,26.23971,23.38785,21.32416,0.00018,0.00039,2.42998,6.04194,0.0,0.0,0.03797,0.00537,-2.97233,18.02872,0.03789,0.00421,0.0,61.16149,39.55363,30.40365,25.69935,1.88325,1.04412,-1.54138,7.46449,1.90624,0.90725,1.96483,1.03042,-1.7624,9.63372,2.01824,1.01078,0.08158,-0.01369,-0.22102,2.16922,0.11199,0.10353,-0.00921,0.11327,-0.07281,-0.00585,0.09076,-0.05172,106.0,14.0,0.0,4.0,13.0,0.0,1.0,0.0,0.0,3.0
emergeant_neutrality-429773870,"[0, 9028, 18056, 27084, 36112, 45140, 54168, 63196, 72224, 81252, 90280, 99308, 108336, 117364, 126392, 135420, 144448, 153476, 162504, 171532, 180560, 189588, 198616, 207644, 216672, 225700, 234728, 243756, 252784, 261812, 270840, 279868, 288896, 297924, 306952, 315980, 325008, 334036, 343064, 352092, 361120, 370148, 379176, 388204, 397232, 406260, 415288, 424316, 433344, 442372, 451400, 460428, 469456, 478484, 487512, 496540, 505568, 514596, 523624, 532652, 541680, 550708, 559736, 568764, 577792, 586820, 595848, 604876, 613904, 622932, 631960, 640988, 650016, 659044, 668072, 677100, 686128, 695156, 704184, 713212, 722240, 731268, 740296, 749324, 758352, 767380, 776408, 785436, 794464, 803492, 812520, 821548, 830576, 839604, 848632, 857660, 866688, 875716, 884744, 893772, 902800, 911828, 920856, 929884, 938912, 947940, 956968, 965996, 975024, 984052, 993080, 1002108, 1011136, 1020164, 1029192, 1038220, 1047248, 1056276, 1065304, 1074332, 1083360, 1092388, 1101416, 1110444, 1119472]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.058,-1.0,-1.0,0.0,500.0,neutral,point_mutation,0.0,3201.0,570.0,4514.0,0.00112,0.00014,500.0,0.2047,0.00111,0.00067,0.58824,1.39507,27.0,2.85295,1.57214,1.40983,1.35713,7.08183,4.43063,3.52312,3.13404,0.00081,0.00183,3.6923,13.88146,0.00035,0.00049,0.01752,0.01611,0.40523,-1.41836,0.01228,0.02789,0.0,12.22827,9.26387,8.51755,8.11988,2.83352,2.74062,-0.17997,-0.62469,2.78358,3.37902,3.45853,2.33362,-0.50461,0.15124,4.00661,2.96638,0.62502,-0.40701,-0.32463,0.77593,1.22303,-0.41264,0.62549,0.47031,0.09612,0.45026,-0.05897,0.14189,21.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
emergeant_neutrality-373797296,"[0, 2006, 4012, 6018, 8024, 10030, 12036, 14042, 16048, 18054, 20060, 22066, 24072, 26078, 28084, 30090, 32096, 34102, 36108, 38114, 40120, 42126, 44132, 46138, 48144, 50150, 52156, 54162, 56168, 58174, 60180, 62186, 64192, 66198, 68204, 70210, 72216, 74222, 76228, 78234, 80240, 82246, 84252, 86258, 88264, 90270, 92276, 94282, 96288, 98294, 100300, 102306, 104312, 106318, 108324, 110330, 112336, 114342, 116348, 118354, 120360, 122366, 124372, 126378, 128384, 130390, 132396, 134402, 136408, 138414, 140420, 142426, 144432, 146438, 148444, 150450, 152456, 154462, 156468, 158474, 160480, 162486, 164492, 166498, 168504, 170510, 172516, 174522, 176528, 178534, 180540, 182546, 184552, 186558, 188564, 190570, 192576, 194582, 196588, 198594, 200600, 202606, 204612, 206618, 208624, 210630, 212636, 214642, 216648, 218654, 220660, 222666, 224672, 226678, 228684, 230690, 232696, 234702, 236708, 238714, 240720, 242726, 244732, 246738, 248744]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,1.37087,-1.0,-1.0,0.0,500.0,neutral,point_mutation,0.0,2553.0,570.0,1003.0,0.00461,0.00162,499.5015,1.0,0.00442,0.00403,0.58824,-0.48577,30.0,11.89678,8.50208,7.10756,6.31081,11.99666,9.99169,8.81351,8.12714,0.00058,0.00082,1.61583,1.7301,0.00018,0.00082,0.00669,0.00441,-0.23217,-1.34924,0.00702,0.00868,0.0,12.89529,9.5431,8.32062,7.70006,3.00834,3.79765,-0.00351,-1.54101,3.145,7.49689,3.58191,3.08587,-0.72963,0.00184,4.3836,3.55501,0.57357,-0.71179,-0.72612,1.54285,1.2386,-3.94188,0.3484,0.61135,-0.41318,0.32832,0.05679,-0.22626,15.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0
emergeant_neutrality-021847183,"[0, 7092, 14184, 21276, 28368, 35460, 42552, 49644, 56736, 63828, 70920, 78012, 85104, 92196, 99288, 106380, 113472, 120564, 127656, 134748, 141840, 148932, 156024, 163116, 170208, 177300, 184392, 191484, 198576, 205668, 212760, 219852, 226944, 234036, 241128, 248220, 255312, 262404, 269496, 276588, 283680, 290772, 297864, 304956, 312048, 319140, 326232, 333324, 340416, 347508, 354600, 361692, 368784, 375876, 382968, 390060, 397152, 404244, 411336, 418428, 425520, 432612, 439704, 446796, 453888, 460980, 468072, 475164, 482256, 489348, 496440, 503532, 510624, 517716, 524808, 531900, 538992, 546084, 553176, 560268, 567360, 574452, 581544, 588636, 595728, 602820, 609912, 617004, 624096, 631188, 638280, 645372, 652464, 659556, 666648, 673740, 680832, 687924, 695016, 702108, 709200, 716292, 723384, 730476, 737568, 744660, 751752, 758844, 765936, 773028, 780120, 787212, 794304, 801396, 808488, 815580, 822672, 829764, 836856, 843948, 851040, 858132, 865224, 872316, 879408]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.18657,-1.0,-1.0,0.0,500.0,neutral,point_mutation,0.0,1934.0,570.0,3546.0,0.00797,0.00638,500.0,1.0,0.00792,0.00768,0.58824,1.15992,143.0,49.54574,28.5161,21.47764,18.31291,37.14648,31.6986,27.89421,25.34613,0.00022,0.00041,2.24143,4.99179,0.0,0.00035,0.02275,0.01662,0.08296,-1.49721,0.02281,0.03132,0.0,54.51744,32.14265,23.83472,19.95659,-0.6931,3.34926,-0.16749,-1.0165,-0.55137,5.52316,-0.59534,2.56919,-0.23209,0.2725,-0.52014,2.95285,0.09776,-0.78007,-0.06461,1.28899,0.03124,-2.57031,0.10945,0.11886,0.08226,0.11553,-0.11428,0.0504,99.0,19.0,0.0,9.0,10.0,0.0,0.0,3.0,0.0,3.0
emergeant_neutrality-225543337,"[0, 2644, 5288, 7932, 10576, 13220, 15864, 18508, 21152, 23796, 26440, 29084, 31728, 34372, 37016, 39660, 42304, 44948, 47592, 50236, 52880, 55524, 58168, 60812, 63456, 66100, 68744, 71388, 74032, 76676, 79320, 81964, 84608, 87252, 89896, 92540, 95184, 97828, 100472, 103116, 105760, 108404, 111048, 113692, 116336, 118980, 121624, 124268, 126912, 129556, 132200, 134844, 137488, 140132, 142776, 145420, 148064, 150708, 153352, 155996, 158640, 161284, 163928, 166572, 169216, 171860, 174504, 177148, 179792, 182436, 185080, 187724, 190368, 193012, 195656, 198300, 200944, 203588, 206232, 208876, 211520, 214164, 216808, 219452, 222096, 224740, 227384, 230028, 232672, 235316, 237960, 240604, 243248, 245892, 248536, 251180, 253824, 256468, 259112, 261756, 264400, 267044, 269688, 272332, 274976, 277620, 280264, 282908, 285552, 288196, 290840, 293484, 296128, 298772, 301416, 304060, 306704, 309348, 311992, 314636, 317280, 319924, 322568, 325212, 327856]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,1.61256,-1.0,-1.0,0.0,500.0,neutral,point_mutation,0.0,4153.0,570.0,1322.0,0.00296,0.00012,500.0,0.2292,0.0029,0.00189,0.58824,-0.11864,16.0,2.41916,1.62409,1.47291,1.41439,11.637,11.28616,10.95594,10.65226,0.00077,0.0005,-0.44546,-0.9152,0.0009,0.00056,0.00318,0.00557,3.02108,8.11848,0.00123,0.00171,0.0,5.16924,3.65344,3.3386,3.2248,-0.07775,2.58913,-0.21708,-1.23412,-0.22557,4.27951,-0.97855,2.72613,-0.20919,-0.64708,-0.58165,4.37082,-0.9008,0.13699,0.00788,0.58704,-0.35608,0.09132,0.28033,0.19657,0.29247,0.40986,-0.24153,-0.30508,4.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,1.0
emergeant_neutrality-756610941,"[0, 2472, 4944, 7416, 9888, 12360, 14832, 17304, 19776, 22248, 24720, 27192, 29664, 32136, 34608, 37080, 39552, 42024, 44496, 46968, 49440, 51912, 54384, 56856, 59328, 61800, 64272, 66744, 69216, 71688, 74160, 76632, 79104, 81576, 84048, 86520, 88992, 91464, 93936, 96408, 98880, 101352, 103824, 106296, 108768, 111240, 113712, 116184, 118656, 121128, 123600, 126072, 128544, 131016, 133488, 135960, 138432, 140904, 143376, 145848, 148320, 150792, 153264, 155736, 158208, 160680, 163152, 165624, 168096, 170568, 173040, 175512, 177984, 180456, 182928, 185400, 187872, 190344, 192816, 195288, 197760, 200232, 202704, 205176, 207648, 210120, 212592, 215064, 217536, 220008, 222480, 224952, 227424, 229896, 232368, 234840, 237312, 239784, 242256, 244728, 247200, 249672, 252144, 254616, 257088, 259560, 262032, 264504, 266976, 269448, 271920, 274392, 276864, 279336, 281808, 284280, 286752, 289224, 291696, 294168, 296640, 299112, 301584, 304056, 306528]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",250.0,500000.0,2.0,0.7,2.0,0.21116,-1.0,-1.0,0.0,500.0,neutral,point_mutation,0.0,4382.0,570.0,1236.0,0.00027,0.00153,500.0,0.26699,0.00026,0.00181,0.58824,-5.04322,17.0,2.98937,1.81229,1.59127,1.5129,6.79048,6.19293,5.88627,5.70323,0.00048,0.00064,0.91347,-0.83579,0.0,0.00125,0.0113,0.00472,-0.88822,-0.24261,0.01351,0.00596,0.0,7.91411,5.6072,4.95972,4.65835,0.23336,1.22016,0.5956,-0.44744,-0.1896,1.28386,0.28785,1.94981,-0.07284,2.68617,0.27633,1.43312,0.05449,0.72966,-0.66844,3.13361,0.46593,0.14926,-0.23901,0.48269,0.17284,-0.06426,-0.45114,-0.0347,9.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
emergeant_neutrality-475679641,"[0, 3324, 6648, 9972, 13296, 16620, 19944, 23268, 26592, 29916, 33240, 36564, 39888, 43212, 46536, 49860, 53184, 56508, 59832, 63156, 66480, 69804, 73128, 76452, 79776, 83100, 86424, 89748, 93072, 96396, 99720, 103044, 106368, 109692, 113016, 116340, 119664, 122988, 126312, 129636, 132960, 136284, 139608, 142932, 146256, 149580, 152904, 156228, 159552, 162876, 166200, 169524, 172848, 176172, 179496, 182820, 186144, 189468, 192792, 196116, 199440, 202764, 206088, 209412, 212736, 216060, 219384, 222708, 226032, 229356, 232680, 236004, 239328, 242652, 245976, 249300, 252624, 255948, 259272, 262596, 265920, 269244, 272568, 275892, 279216, 282540, 285864, 289188, 292512, 295836, 299160, 302484, 305808, 309132, 312456, 315780, 319104, 322428, 325752, 329076, 332400, 335724, 339048, 342372, 345696, 349020, 352344, 355668, 358992, 362316, 365640, 368964, 372288, 375612, 378936, 382260, 385584, 388908, 392232, 395556, 398880, 402204, 405528, 408852, 412176]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.00168,-1.0,-1.0,0.0,500.0,neutral,point_mutation,0.0,1062.0,570.0,1662.0,0.0048,0.00053,500.0,0.73706,0.00505,0.00261,0.58824,-2.09365,40.0,15.39366,8.99642,6.7755,5.78899,15.11336,13.66393,12.59075,11.78616,0.00031,0.00043,1.23724,0.57548,0.0,0.00062,0.00629,0.00695,1.28873,0.80986,0.00404,0.00763,0.0,18.60043,11.70034,9.25658,8.19153,-0.54341,3.18681,-0.17958,-0.51754,-0.41725,4.12552,-0.48623,2.41936,0.03301,2.16853,-0.52013,2.12988,0.05718,-0.76745,0.21259,2.68607,-0.10288,-1.99564,0.54294,0.26427,-0.05848,0.3629,-0.0762,0.03771,23.0,0.0,6.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
emergeant_neutrality-978715774,"[0, 7386, 14772, 22158, 29544, 36930, 44316, 51702, 59088, 66474, 73860, 81246, 88632, 96018, 103404, 110790, 118176, 125562, 132948, 140334, 147720, 155106, 162492, 169878, 177264, 184650, 192036, 199422, 206808, 214194, 221580, 228966, 236352, 243738, 251124, 258510, 265896, 273282, 280668, 288054, 295440, 302826, 310212, 317598, 324984, 332370, 339756, 347142, 354528, 361914, 369300, 376686, 384072, 391458, 398844, 406230, 413616, 421002, 428388, 435774, 443160, 450546, 457932, 465318, 472704, 480090, 487476, 494862, 502248, 509634, 517020, 524406, 531792, 539178, 546564, 553950, 561336, 568722, 576108, 583494, 590880, 598266, 605652, 613038, 620424, 627810, 635196, 642582, 649968, 657354, 664740, 672126, 679512, 686898, 694284, 701670, 709056, 716442, 723828, 731214, 738600, 745986, 753372, 760758, 768144, 775530, 782916, 790302, 797688, 805074, 812460, 819846, 827232, 834618, 842004, 849390, 856776, 864162, 871548, 878934, 886320, 893706, 901092, 908478, 915864]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,2.24418,-1.0,-1.0,0.0,500.0,neutral,point_mutation,0.0,3239.0,570.0,3693.0,0.00202,0.0003,499.86461,0.45329,0.00199,0.00108,0.58824,0.97217,33.0,5.41814,3.0095,2.44934,2.23406,15.30305,12.5855,11.0704,10.18031,0.00075,0.00096,1.46171,1.27576,0.00035,0.00117,0.0167,0.01621,0.43271,-1.51418,0.00912,0.03404,0.0,8.02259,5.45682,4.88641,4.64876,-0.01328,2.70351,0.28794,-0.51205,0.19746,2.97193,-0.61169,2.7141,0.08703,1.64612,-1.14885,2.81984,-0.59842,0.0106,-0.20091,2.15818,-1.34631,-0.15209,0.33881,0.38044,-0.02565,0.50825,-0.22074,-0.16313,13.0,6.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0
emergeant_neutrality-164522688,"[0, 7918, 15836, 23754, 31672, 39590, 47508, 55426, 63344, 71262, 79180, 87098, 95016, 102934, 110852, 118770, 126688, 134606, 142524, 150442, 158360, 166278, 174196, 182114, 190032, 197950, 205868, 213786, 221704, 229622, 237540, 245458, 253376, 261294, 269212, 277130, 285048, 292966, 300884, 308802, 316720, 324638, 332556, 340474, 348392, 356310, 364228, 372146, 380064, 387982, 395900, 403818, 411736, 419654, 427572, 435490, 443408, 451326, 459244, 467162, 475080, 482998, 490916, 498834, 506752, 514670, 522588, 530506, 538424, 546342, 554260, 562178, 570096, 578014, 585932, 593850, 601768, 609686, 617604, 625522, 633440, 641358, 649276, 657194, 665112, 673030, 680948, 688866, 696784, 704702, 712620, 720538, 728456, 736374, 744292, 752210, 760128, 768046, 775964, 783882, 791800, 799718, 807636, 815554, 823472, 831390, 839308, 847226, 855144, 863062, 870980, 878898, 886816, 894734, 902652, 910570, 918488, 926406, 934324, 942242, 950160, 958078, 965996, 973914, 981832]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",250.0,500000.0,2.0,0.7,2.0,9.31067,-1.0,-1.0,0.0,500.0,neutral,point_mutation,0.0,2777.0,570.0,3959.0,0.0027,0.00092,499.87371,1.0,0.00268,0.00177,0.58824,-0.01378,50.0,7.2152,2.97122,2.33007,2.12401,17.2155,12.71138,10.45974,9.2828,0.00088,0.00151,2.59742,6.93192,0.00018,0.00097,0.01984,0.01557,-0.03643,-1.60454,0.02553,0.02956,0.0,12.55075,8.34071,7.33851,6.8507,-2.07882,3.20346,-0.06262,-0.87651,-2.27976,5.1276,-0.6085,2.80613,-0.94211,0.02149,0.61301,3.91827,1.47032,-0.39734,-0.87948,0.898,2.89277,-1.20933,0.41107,0.39329,-0.15138,0.21336,0.21276,-0.01674,32.0,8.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
emergeant_neutrality-397565824,"[0, 6514, 13028, 19542, 26056, 32570, 39084, 45598, 52112, 58626, 65140, 71654, 78168, 84682, 91196, 97710, 104224, 110738, 117252, 123766, 130280, 136794, 143308, 149822, 156336, 162850, 169364, 175878, 182392, 188906, 195420, 201934, 208448, 214962, 221476, 227990, 234504, 241018, 247532, 254046, 260560, 267074, 273588, 280102, 286616, 293130, 299644, 306158, 312672, 319186, 325700, 332214, 338728, 345242, 351756, 358270, 364784, 371298, 377812, 384326, 390840, 397354, 403868, 410382, 416896, 423410, 429924, 436438, 442952, 449466, 455980, 462494, 469008, 475522, 482036, 488550, 495064, 501578, 508092, 514606, 521120, 527634, 534148, 540662, 547176, 553690, 560204, 566718, 573232, 579746, 586260, 592774, 599288, 605802, 612316, 618830, 625344, 631858, 638372, 644886, 651400, 657914, 664428, 670942, 677456, 683970, 690484, 696998, 703512, 710026, 716540, 723054, 729568, 736082, 742596, 749110, 755624, 762138, 768652, 775166, 781680, 788194, 794708, 801222, 807736]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,7.33273,-1.0,-1.0,0.0,500.0,neutral,point_mutation,0.0,1220.0,570.0,3257.0,0.00026,0.00336,499.84648,0.61314,0.00024,0.00357,0.58824,11.29385,58.0,12.34259,5.59654,4.07903,3.53675,6.24335,5.71024,5.32797,5.04164,0.0001,0.00031,3.24904,10.19517,0.0,0.0,0.03469,0.00894,-2.0909,6.01825,0.03579,0.00351,0.0,20.39989,10.99836,8.58167,7.53447,0.13873,0.91218,0.60967,3.7552,0.16017,0.84583,0.23787,1.06666,2.02654,11.2503,0.13549,0.96122,0.09914,0.15448,1.41687,7.4951,-0.02468,0.11539,0.01501,0.09359,-0.23614,0.02732,0.01364,-0.14891,51.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0
