,timesteps,is_neutral,S_m,J_m,speciation_rate,death_proportion,trait_rate_meta,ecological_strength,intrasp_competition,intersp_competition,mutualism_proportion,generations,community_assembly_model,speciation_model,mutation_rate,alpha,sequence_length,J,m,speciation_prob,generation,_lambda,migrate_calculated,extrate_calculated,trait_rate_local,filtering_optimum,S,abund_h1,abund_h2,abund_h3,abund_h4,pi_h1,pi_h2,pi_h3,pi_h4,mean_pi,std_pi,skewness_pi,kurtosis_pi,median_pi,iqr_pi,mean_dxys,std_dxys,skewness_dxys,kurtosis_dxys,median_dxys,iqr_dxys,trees,trait_h1,trait_h2,trait_h3,trait_h4,mean_local_traits,std_local_traits,skewness_local_traits,kurtosis_local_traits,median_local_traits,iqr_local_traits,mean_regional_traits,std_regional_traits,skewness_regional_traits,kurtosis_regional_traits,median_regional_traits,iqr_regional_traits,reg_loc_mean_trait_dif,reg_loc_std_trait_dif,reg_loc_skewness_trait_dif,reg_loc_kurtosis_trait_dif,reg_loc_median_trait_dif,reg_loc_iqr_trait_dif,abundance_dxy_cor,abundance_pi_cor,abundance_trait_cor,dxy_pi_cor,dxy_trait_cor,pi_trait_cor,SGD_0,SGD_1,SGD_2,SGD_3,SGD_4,SGD_5,SGD_6,SGD_7,SGD_8,SGD_9
emergeant_neutrality-591662425,"[0, 5120, 10240, 15360, 20480, 25600, 30720, 35840, 40960, 46080, 51200, 56320, 61440, 66560, 71680, 76800, 81920, 87040, 92160, 97280, 102400, 107520, 112640, 117760, 122880, 128000, 133120, 138240, 143360, 148480, 153600, 158720, 163840, 168960, 174080, 179200, 184320, 189440, 194560, 199680, 204800, 209920, 215040, 220160, 225280, 230400, 235520, 240640, 245760, 250880, 256000, 261120, 266240, 271360, 276480, 281600, 286720, 291840, 296960, 302080, 307200, 312320, 317440, 322560, 327680, 332800, 337920, 343040, 348160, 353280, 358400, 363520, 368640, 373760, 378880, 384000, 389120, 394240, 399360, 404480, 409600, 414720, 419840, 424960, 430080, 435200, 440320, 445440, 450560, 455680, 460800, 465920, 471040, 476160, 481280, 486400, 491520, 496640, 501760, 506880, 512000, 517120, 522240, 527360, 532480, 537600, 542720, 547840, 552960, 558080, 563200, 568320, 573440, 578560, 583680, 588800, 593920, 599040, 604160, 609280, 614400, 619520, 624640, 629760, 634880]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.01465,-1.0,-1.0,0.0,500.0,pairwise_competition,point_mutation,0.0,3894.0,570.0,2560.0,0.00025,0.00017,500.0,0.62578,0.00024,0.00033,0.58824,0.2222,9.0,4.04757,3.54516,3.33162,3.21105,5.28896,4.87689,4.62966,4.46412,0.00114,0.00105,0.31231,-1.39005,0.0007,0.00203,0.01762,0.0154,0.76985,-0.75323,0.01316,0.01368,0.0,3.97433,3.51597,3.34218,3.25198,-0.04088,2.88254,-0.26279,-1.75648,1.68,5.87326,-1.00278,2.67165,0.452,-0.59129,-1.37513,4.39106,-0.9619,-0.21088,0.71479,1.16518,-3.05513,-1.4822,0.41841,0.81709,0.47699,0.38989,0.58333,0.22037,3.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
emergeant_neutrality-500131937,"[0, 3332, 6664, 9996, 13328, 16660, 19992, 23324, 26656, 29988, 33320, 36652, 39984, 43316, 46648, 49980, 53312, 56644, 59976, 63308, 66640, 69972, 73304, 76636, 79968, 83300, 86632, 89964, 93296, 96628, 99960, 103292, 106624, 109956, 113288, 116620, 119952, 123284, 126616, 129948, 133280, 136612, 139944, 143276, 146608, 149940, 153272, 156604, 159936, 163268, 166600, 169932, 173264, 176596, 179928, 183260, 186592, 189924, 193256, 196588, 199920, 203252, 206584, 209916, 213248, 216580, 219912, 223244, 226576, 229908, 233240, 236572, 239904, 243236, 246568, 249900, 253232, 256564, 259896, 263228, 266560, 269892, 273224, 276556, 279888, 283220, 286552, 289884, 293216, 296548, 299880, 303212, 306544, 309876, 313208, 316540, 319872, 323204, 326536, 329868, 333200, 336532, 339864, 343196, 346528, 349860, 353192, 356524, 359856, 363188, 366520, 369852, 373184, 376516, 379848, 383180, 386512, 389844, 393176, 396508, 399840, 403172, 406504, 409836, 413168]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",250.0,500000.0,2.0,0.7,2.0,0.7615,-1.0,-1.0,0.0,500.0,pairwise_competition,point_mutation,0.0,4132.0,570.0,1666.0,0.00045,0.00701,500.0,1.0,0.00043,0.00679,0.58824,-0.48894,80.0,47.25415,38.0432,33.50821,30.56221,29.13331,25.02896,22.32978,20.5321,0.00044,0.00066,1.6119,1.97294,0.0,0.00073,0.0142,0.00505,-0.82871,0.38593,0.01491,0.00487,0.0,46.4299,36.91508,32.34163,29.52376,-0.91038,7.93868,0.24234,-1.11524,-1.97122,14.14612,-0.54329,7.23904,0.17208,-1.11156,-1.75687,12.23144,0.36709,-0.69964,-0.07026,0.00367,0.21435,-1.91469,0.21928,0.38946,0.05301,0.14917,0.09784,-0.1115,45.0,8.0,11.0,5.0,3.0,1.0,4.0,0.0,2.0,1.0
emergeant_neutrality-939835316,"[0, 2680, 5360, 8040, 10720, 13400, 16080, 18760, 21440, 24120, 26800, 29480, 32160, 34840, 37520, 40200, 42880, 45560, 48240, 50920, 53600, 56280, 58960, 61640, 64320, 67000, 69680, 72360, 75040, 77720, 80400, 83080, 85760, 88440, 91120, 93800, 96480, 99160, 101840, 104520, 107200, 109880, 112560, 115240, 117920, 120600, 123280, 125960, 128640, 131320, 134000, 136680, 139360, 142040, 144720, 147400, 150080, 152760, 155440, 158120, 160800, 163480, 166160, 168840, 171520, 174200, 176880, 179560, 182240, 184920, 187600, 190280, 192960, 195640, 198320, 201000, 203680, 206360, 209040, 211720, 214400, 217080, 219760, 222440, 225120, 227800, 230480, 233160, 235840, 238520, 241200, 243880, 246560, 249240, 251920, 254600, 257280, 259960, 262640, 265320, 268000, 270680, 273360, 276040, 278720, 281400, 284080, 286760, 289440, 292120, 294800, 297480, 300160, 302840, 305520, 308200, 310880, 313560, 316240, 318920, 321600, 324280, 326960, 329640, 332320]","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",250.0,500000.0,2.0,0.7,2.0,1.24922,-1.0,-1.0,0.0,500.0,pairwise_competition,point_mutation,0.0,1788.0,570.0,1340.0,0.00018,0.00034,500.0,0.93209,0.00017,0.00037,0.58824,1.57371,17.0,13.10907,11.76995,11.0029,10.46629,10.97414,8.6191,7.51426,6.92524,0.00172,0.0017,1.25279,0.33529,0.00117,0.00207,0.01322,0.00564,0.00756,-0.01496,0.01228,0.00684,0.0,13.04626,11.79367,11.09174,10.60746,1.40746,3.58384,-0.13623,-1.49129,2.21544,6.80481,0.4574,3.00871,-0.12583,-0.614,0.7336,4.74327,-0.95006,-0.57513,0.0104,0.87728,-1.48184,-2.06154,0.13725,0.52932,-0.07598,0.40963,-0.03922,-0.03825,5.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
emergeant_neutrality-012477994,"[0, 4672, 9344, 14016, 18688, 23360, 28032, 32704, 37376, 42048, 46720, 51392, 56064, 60736, 65408, 70080, 74752, 79424, 84096, 88768, 93440, 98112, 102784, 107456, 112128, 116800, 121472, 126144, 130816, 135488, 140160, 144832, 149504, 154176, 158848, 163520, 168192, 172864, 177536, 182208, 186880, 191552, 196224, 200896, 205568, 210240, 214912, 219584, 224256, 228928, 233600, 238272, 242944, 247616, 252288, 256960, 261632, 266304, 270976, 275648, 280320, 284992, 289664, 294336, 299008, 303680, 308352, 313024, 317696, 322368, 327040, 331712, 336384, 341056, 345728, 350400, 355072, 359744, 364416, 369088, 373760, 378432, 383104, 387776, 392448, 397120, 401792, 406464, 411136, 415808, 420480, 425152, 429824, 434496, 439168, 443840, 448512, 453184, 457856, 462528, 467200, 471872, 476544, 481216, 485888, 490560, 495232, 499904, 504576, 509248, 513920, 518592, 523264, 527936, 532608, 537280, 541952, 546624, 551296, 555968, 560640, 565312, 569984, 574656, 579328]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.01898,-1.0,-1.0,0.0,500.0,pairwise_competition,point_mutation,0.0,4026.0,570.0,2336.0,0.00171,0.00036,500.0,0.76712,0.00171,0.00123,0.58824,1.78359,21.0,6.85409,4.65077,3.98935,3.66994,12.96915,9.83248,8.00944,6.97288,0.00166,0.00176,2.03816,4.46781,0.00133,0.00179,0.01241,0.01204,0.92093,0.29976,0.0107,0.01579,0.0,7.14668,5.1968,4.58987,4.29145,-0.10955,3.32408,-0.46855,-1.27953,1.3762,6.44605,-0.22055,2.14454,-0.38906,0.18609,-0.21547,2.53186,-0.11099,-1.17954,0.07948,1.46562,-1.59167,-3.91419,0.59009,0.35749,-0.31685,0.54569,-0.37138,0.01629,8.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
emergeant_neutrality-152774623,"[0, 7160, 14320, 21480, 28640, 35800, 42960, 50120, 57280, 64440, 71600, 78760, 85920, 93080, 100240, 107400, 114560, 121720, 128880, 136040, 143200, 150360, 157520, 164680, 171840, 179000, 186160, 193320, 200480, 207640, 214800, 221960, 229120, 236280, 243440, 250600, 257760, 264920, 272080, 279240, 286400, 293560, 300720, 307880, 315040, 322200, 329360, 336520, 343680, 350840, 358000, 365160, 372320, 379480, 386640, 393800, 400960, 408120, 415280, 422440, 429600, 436760, 443920, 451080, 458240, 465400, 472560, 479720, 486880, 494040, 501200, 508360, 515520, 522680, 529840, 537000, 544160, 551320, 558480, 565640, 572800, 579960, 587120, 594280, 601440, 608600, 615760, 622920, 630080, 637240, 644400, 651560, 658720, 665880, 673040, 680200, 687360, 694520, 701680, 708840, 716000, 723160, 730320, 737480, 744640, 751800, 758960, 766120, 773280, 780440, 787600, 794760, 801920, 809080, 816240, 823400, 830560, 837720, 844880, 852040, 859200, 866360, 873520, 880680, 887840]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.01252,-1.0,-1.0,0.0,500.0,pairwise_competition,point_mutation,0.0,2764.0,570.0,3580.0,0.00292,0.00232,500.0,0.80447,0.00285,0.00337,0.58824,9.4238,57.0,19.50074,11.53635,9.10045,7.99134,22.06897,17.83313,15.10761,13.34588,0.00043,0.00064,2.04189,4.70066,0.0,0.00062,0.02456,0.01645,-0.46471,-1.55283,0.03333,0.03439,0.0,21.38765,12.70842,10.08685,8.9622,1.47254,2.62953,-0.09007,-0.90055,1.12351,4.32386,0.72658,2.13643,0.80147,-0.40325,-0.08996,2.79991,-0.74596,-0.4931,0.89153,0.4973,-1.21347,-1.52396,0.0342,0.17602,-0.13968,0.04016,-0.02257,-0.03685,29.0,14.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0
emergeant_neutrality-992866524,"[0, 5432, 10864, 16296, 21728, 27160, 32592, 38024, 43456, 48888, 54320, 59752, 65184, 70616, 76048, 81480, 86912, 92344, 97776, 103208, 108640, 114072, 119504, 124936, 130368, 135800, 141232, 146664, 152096, 157528, 162960, 168392, 173824, 179256, 184688, 190120, 195552, 200984, 206416, 211848, 217280, 222712, 228144, 233576, 239008, 244440, 249872, 255304, 260736, 266168, 271600, 277032, 282464, 287896, 293328, 298760, 304192, 309624, 315056, 320488, 325920, 331352, 336784, 342216, 347648, 353080, 358512, 363944, 369376, 374808, 380240, 385672, 391104, 396536, 401968, 407400, 412832, 418264, 423696, 429128, 434560, 439992, 445424, 450856, 456288, 461720, 467152, 472584, 478016, 483448, 488880, 494312, 499744, 505176, 510608, 516040, 521472, 526904, 532336, 537768, 543200, 548632, 554064, 559496, 564928, 570360, 575792, 581224, 586656, 592088, 597520, 602952, 608384, 613816, 619248, 624680, 630112, 635544, 640976, 646408, 651840, 657272, 662704, 668136, 673568]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.5067,-1.0,-1.0,0.0,500.0,pairwise_competition,point_mutation,0.0,1931.0,570.0,2716.0,0.00109,0.00025,500.0,0.94809,0.00103,0.00065,0.58824,-1.27758,28.0,16.70055,14.77808,13.5116,12.49412,12.03643,9.45226,7.89577,6.9729,0.00107,0.00151,2.0696,4.58883,0.00053,0.00159,0.02255,0.01291,-0.30929,-0.97796,0.02491,0.01675,0.0,16.24687,14.30576,13.18744,12.41352,0.18922,5.39026,0.27959,-1.30784,-1.15567,9.25602,-1.10584,4.84069,0.64595,-0.6145,-2.48897,6.62115,-1.29506,-0.54957,0.36637,0.69333,-1.3333,-2.63487,0.34731,0.46841,-0.07399,0.22005,-0.07336,-0.35928,14.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
emergeant_neutrality-952867750,"[0, 7410, 14820, 22230, 29640, 37050, 44460, 51870, 59280, 66690, 74100, 81510, 88920, 96330, 103740, 111150, 118560, 125970, 133380, 140790, 148200, 155610, 163020, 170430, 177840, 185250, 192660, 200070, 207480, 214890, 222300, 229710, 237120, 244530, 251940, 259350, 266760, 274170, 281580, 288990, 296400, 303810, 311220, 318630, 326040, 333450, 340860, 348270, 355680, 363090, 370500, 377910, 385320, 392730, 400140, 407550, 414960, 422370, 429780, 437190, 444600, 452010, 459420, 466830, 474240, 481650, 489060, 496470, 503880, 511290, 518700, 526110, 533520, 540930, 548340, 555750, 563160, 570570, 577980, 585390, 592800, 600210, 607620, 615030, 622440, 629850, 637260, 644670, 652080, 659490, 666900, 674310, 681720, 689130, 696540, 703950, 711360, 718770, 726180, 733590, 741000, 748410, 755820, 763230, 770640, 778050, 785460, 792870, 800280, 807690, 815100, 822510, 829920, 837330, 844740, 852150, 859560, 866970, 874380, 881790, 889200, 896610, 904020, 911430, 918840]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",250.0,500000.0,2.0,0.7,2.0,4.33262,-1.0,-1.0,0.0,500.0,pairwise_competition,point_mutation,0.0,1060.0,570.0,3705.0,0.00019,0.00126,499.86505,0.99217,0.00019,0.0013,0.58824,-1.39921,111.0,91.32356,84.31367,79.83819,76.4081,24.57685,20.1315,17.02173,15.02985,0.00024,0.00051,2.91804,9.89879,0.0,0.00035,0.0306,0.01021,-0.31675,0.34524,0.03035,0.00982,0.0,89.47463,82.81135,78.55075,75.29663,-0.83438,5.75552,-0.041,-1.05807,-0.67017,9.47414,-0.31429,4.38743,-0.24183,-0.4789,0.00464,6.41233,0.52009,-1.36809,-0.20083,0.57917,0.67481,-3.06182,-0.03402,0.23338,0.18552,-0.14382,-0.22967,0.11552,81.0,8.0,13.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0
emergeant_neutrality-53483593,"[0, 7372, 14744, 22116, 29488, 36860, 44232, 51604, 58976, 66348, 73720, 81092, 88464, 95836, 103208, 110580, 117952, 125324, 132696, 140068, 147440, 154812, 162184, 169556, 176928, 184300, 191672, 199044, 206416, 213788, 221160, 228532, 235904, 243276, 250648, 258020, 265392, 272764, 280136, 287508, 294880, 302252, 309624, 316996, 324368, 331740, 339112, 346484, 353856, 361228, 368600, 375972, 383344, 390716, 398088, 405460, 412832, 420204, 427576, 434948, 442320, 449692, 457064, 464436, 471808, 479180, 486552, 493924, 501296, 508668, 516040, 523412, 530784, 538156, 545528, 552900, 560272, 567644, 575016, 582388, 589760, 597132, 604504, 611876, 619248, 626620, 633992, 641364, 648736, 656108, 663480, 670852, 678224, 685596, 692968, 700340, 707712, 715084, 722456, 729828, 737200, 744572, 751944, 759316, 766688, 774060, 781432, 788804, 796176, 803548, 810920, 818292, 825664, 833036, 840408, 847780, 855152, 862524, 869896, 877268, 884640, 892012, 899384, 906756, 914128]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.00217,-1.0,-1.0,0.0,500.0,pairwise_competition,point_mutation,0.0,1727.0,570.0,3686.0,0.00104,0.00645,500.0,0.85106,0.00105,0.00679,0.58824,7.12852,128.0,46.89169,23.37439,15.46028,12.28114,28.55629,24.31293,21.35089,19.36566,0.00021,0.00044,2.51466,6.544,0.0,0.00035,0.04048,0.01917,-0.85248,-0.80502,0.05088,0.03294,0.0,51.11478,26.87292,18.85981,15.61342,-1.53529,3.52665,1.25573,0.44681,-3.25505,4.07693,-2.70588,2.76966,2.50821,6.45617,-3.54323,1.21947,-1.17058,-0.75699,1.25247,6.00936,-0.28817,-2.85746,-0.03387,-0.07073,-0.08854,-0.12178,-0.17618,0.15717,94.0,12.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0
emergeant_neutrality-194358846,"[0, 5606, 11212, 16818, 22424, 28030, 33636, 39242, 44848, 50454, 56060, 61666, 67272, 72878, 78484, 84090, 89696, 95302, 100908, 106514, 112120, 117726, 123332, 128938, 134544, 140150, 145756, 151362, 156968, 162574, 168180, 173786, 179392, 184998, 190604, 196210, 201816, 207422, 213028, 218634, 224240, 229846, 235452, 241058, 246664, 252270, 257876, 263482, 269088, 274694, 280300, 285906, 291512, 297118, 302724, 308330, 313936, 319542, 325148, 330754, 336360, 341966, 347572, 353178, 358784, 364390, 369996, 375602, 381208, 386814, 392420, 398026, 403632, 409238, 414844, 420450, 426056, 431662, 437268, 442874, 448480, 454086, 459692, 465298, 470904, 476510, 482116, 487722, 493328, 498934, 504540, 510146, 515752, 521358, 526964, 532570, 538176, 543782, 549388, 554994, 560600, 566206, 571812, 577418, 583024, 588630, 594236, 599842, 605448, 611054, 616660, 622266, 627872, 633478, 639084, 644690, 650296, 655902, 661508, 667114, 672720, 678326, 683932, 689538, 695144]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",250.0,500000.0,2.0,0.7,2.0,0.00161,-1.0,-1.0,0.0,500.0,pairwise_competition,point_mutation,0.0,4429.0,570.0,2803.0,0.00423,0.00033,499.82162,0.46379,0.00421,0.0017,0.58824,-8.52067,36.0,7.57023,3.29387,2.54056,2.29516,16.91327,13.64104,11.89915,10.77644,0.00166,0.00213,1.54202,2.02573,0.00066,0.00257,0.01073,0.00913,0.21602,-1.58427,0.00789,0.01776,0.0,16.56031,9.71886,7.84309,7.03911,-0.34591,2.32449,-0.03877,-0.67996,-0.62342,3.66436,-0.79029,2.0883,0.52616,0.41369,-1.18256,2.3203,-0.44437,-0.23619,0.56493,1.09365,-0.55913,-1.34406,0.31688,0.47048,-0.06099,0.43763,-0.23236,-0.04922,21.0,4.0,3.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0
emergeant_neutrality-981495470,"[0, 2358, 4716, 7074, 9432, 11790, 14148, 16506, 18864, 21222, 23580, 25938, 28296, 30654, 33012, 35370, 37728, 40086, 42444, 44802, 47160, 49518, 51876, 54234, 56592, 58950, 61308, 63666, 66024, 68382, 70740, 73098, 75456, 77814, 80172, 82530, 84888, 87246, 89604, 91962, 94320, 96678, 99036, 101394, 103752, 106110, 108468, 110826, 113184, 115542, 117900, 120258, 122616, 124974, 127332, 129690, 132048, 134406, 136764, 139122, 141480, 143838, 146196, 148554, 150912, 153270, 155628, 157986, 160344, 162702, 165060, 167418, 169776, 172134, 174492, 176850, 179208, 181566, 183924, 186282, 188640, 190998, 193356, 195714, 198072, 200430, 202788, 205146, 207504, 209862, 212220, 214578, 216936, 219294, 221652, 224010, 226368, 228726, 231084, 233442, 235800, 238158, 240516, 242874, 245232, 247590, 249948, 252306, 254664, 257022, 259380, 261738, 264096, 266454, 268812, 271170, 273528, 275886, 278244, 280602, 282960, 285318, 287676, 290034, 292392]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1]",250.0,500000.0,2.0,0.7,2.0,0.01181,-1.0,-1.0,0.0,500.0,pairwise_competition,point_mutation,0.0,2000.0,570.0,1179.0,0.0036,0.00981,499.57591,0.84987,0.00349,0.01199,0.58824,-0.58085,62.0,29.00659,18.10067,13.48388,11.3062,15.24918,13.39794,11.70492,10.38883,0.00022,0.00041,2.34104,6.50606,0.0,0.00035,0.00726,0.00485,0.11632,-1.04546,0.00719,0.00798,0.0,33.89269,23.6085,18.83704,15.92676,-0.77367,3.54203,0.56844,-0.75898,-1.72624,4.73802,-1.1749,2.57369,0.94913,0.58956,-1.83955,2.5532,-0.40123,-0.96834,0.38069,1.34855,-0.11332,-2.18482,0.15596,-0.05139,0.00357,0.02801,0.23304,0.17624,45.0,2.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0
