"","x"
"achatellinus",0.310153162177582
"adelphus",1.332365154202
"akamatus",0.841947183308985
"albermarlensis",0.90859298821516
"albermarlensis CA",1.36015763729189
"alethorhytidus",0.323017304112598
"amastroides",0.515320277653838
"amastroides_eljunco",0.423429053990551
"approximatus",0.868828031999237
"basiplicatus",1.34275671280359
"bauri ",0.413465545071077
"blombergi",0.668268487506571
"blunt_sculpturatus",0.349266251680363
"calvus",2.12632277909634
"canaliferus",0.719456610749872
"cavagnaroi",1.47679317675382
"cf. cucullinus FL",1.73678997896025
"chemnitzioides",0.808793501920189
"corini",0.60804657175226
"darwini",0.385963216813005
"duncanus",1.33091258470577
"elaeodes",4.49703046147483
"eos",0.477671728691933
"eschariferus",0.729296521603482
"galapaganus",1.06029025551821
"habeli",0.54950595618999
"hemaerodes",0.553099308540246
"hirsutus",3.47421481718533
"invalidus",1.1648216969708
"jacobi",0.634541132653089
"jacobinus",0.558120299320678
"jervisensis",0.0814530466674032
"krameri MS",0.636570483399671
"lycodus",0.483099334844034
"nesioticus",0.741133795659613
"nsp AL1",0.683337283137273
"nsp CA1",0.607107490583768
"nsp CA2",0.667357081490226
"nsp DA1",0.826725204875155
"nsp DA2",0.744901564905907
"nsp PI1",0.740111103496438
"nsp SC2",0.32392143230097
"nsp SC3",0.776226506861124
"nsp WF1",0.374590321598688
"nux",2.10414188545807
"ochsneri",5.24530379156736
"olla",0.987322666879611
"perrus",0.912666511522989
"perrus1",0.348560717587777
"perspectivus",1.96560164465857
"phanaticus MS",2.1630136952472
"pinzonensis",1.32639746953815
"pinzonopsis",0.88906588860799
"prepinguis",0.839832287044376
"reibischii",0.637881301977297
"rugiferus",0.39538531798456
"rugulosus",1.39001025881264
"saeronius",0.178761909743494
"sculpturatus",0.344399329608111
"simrothi",0.473276006486508
"snodgrassi",0.889867343796031
"steadmani",0.721852814369907
"tanneri",0.615641942338013
"tortuganus",0.816560081213651
"trogonius",0.67759593044699
"unifasciatus",4.34313007516063
"ustulatus",1.12575635338151
"ventrosus",5.57787844328188
"wolfi",1.08047484026577
