oldname,species,island,site.lot,oldID,FinalNames,scannedby
AL sp.2 ,hemaerodes,AL,AL01-101,CEPAL sp.2 @@@6V11104(13-24) copy 24.jpeg,CEPAL sp.2  - 6V11104(13-24) copy 24.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-101,CEPAL sp.2 @@@6V11104(13-24) copy 25.jpeg,CEPAL sp.2  - 6V11104(13-24) copy 25.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-101,CEPAL sp.2 @@@6V11104(13-24) copy 26.jpeg,CEPAL sp.2  - 6V11104(13-24) copy 26.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-121C,CEPAL sp.2 @@@6V11104(37-44) copy 1.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 1.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 10.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 10.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 11.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 11.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 12.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 12.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 13.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 13.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 14.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 14.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 15.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 15.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 16.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 16.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-121C,CEPAL sp.2 @@@6V11104(37-44) copy 2.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 2.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 3.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 3.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 4.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 4.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 5.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 5.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 6.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 6.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 7.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 7.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 8.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 8.jpeg,CEP
AL sp.2 ,hemaerodes,AL,AL01-131,CEPAL sp.2 @@@6V11104(37-44) copy 9.jpeg,CEPAL sp.2  - 6V11104(37-44) copy 9.jpeg,CEP
AL sp.2,hemaerodes,AL,IS01-121,CEPAL sp.2@@@IS01-121_12.X.01 copy 1.jpeg,CEPAL sp.2 - IS01-121_12.X.01 copy 1.jpeg,CEP
AL sp.2,hemaerodes,AL,IS01-121,CEPAL sp.2@@@IS01-121_12.X.01 copy 2.jpeg,CEPAL sp.2 - IS01-121_12.X.01 copy 2.jpeg,CEP
AL sp.2,hemaerodes,AL,IS01-121,CEPAL sp.2@@@IS01-121_12.X.01 copy 3.jpeg,CEPAL sp.2 - IS01-121_12.X.01 copy 3.jpeg,CEP
AL sp.2,hemaerodes,AL,IS01-121,CEPAL sp.2@@@IS01-121_12.X.01 copy 4.jpeg,CEPAL sp.2 - IS01-121_12.X.01 copy 4.jpeg,CEP
AL sp.2,hemaerodes,AL,IS01-121,CEPAL sp.2@@@IS01-121_12.X.01 copy 5.jpeg,CEPAL sp.2 - IS01-121_12.X.01 copy 5.jpeg,CEP
AL sp.2,hemaerodes,AL,IS01-121,CEPAL sp.2@@@IS01-121_12.X.01 copy 6.jpeg,CEPAL sp.2 - IS01-121_12.X.01 copy 6.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 13.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 13.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 14.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 14.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 15.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 15.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 16.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 16.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 17.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 17.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 18.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 18.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 19.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 19.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 20.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 20.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 21.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 21.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 22.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 22.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 23.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 23.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 24.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 24.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 25.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 25.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 26.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 26.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 27.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 27.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 28.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 28.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 29.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 29.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 30.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 30.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 31.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 31.jpeg,CEP
alethorhyditus,alethorhytidus,SC,MCZ 278892,CEPalethorhyditus@@@8X1105(13-24) copy 32.jpeg,CEPalethorhyditus - 8X1105(13-24) copy 32.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(1-12) copy 32.jpeg,CEPamastroides - 26.1.05(1-12) copy 32.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(1-12) copy 33.jpeg,CEPamastroides - 26.1.05(1-12) copy 33.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(1-12) copy 34.jpeg,CEPamastroides - 26.1.05(1-12) copy 34.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(1-12) copy 35.jpeg,CEPamastroides - 26.1.05(1-12) copy 35.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(13-22) copy 1.jpeg,CEPamastroides - 26.1.05(13-22) copy 1.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(13-22) copy 10.jpeg,CEPamastroides - 26.1.05(13-22) copy 10.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(13-22) copy 2.jpeg,CEPamastroides - 26.1.05(13-22) copy 2.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(13-22) copy 3.jpeg,CEPamastroides - 26.1.05(13-22) copy 3.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(13-22) copy 4.jpeg,CEPamastroides - 26.1.05(13-22) copy 4.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(13-22) copy 5.jpeg,CEPamastroides - 26.1.05(13-22) copy 5.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(13-22) copy 6.jpeg,CEPamastroides - 26.1.05(13-22) copy 6.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(13-22) copy 7.jpeg,CEPamastroides - 26.1.05(13-22) copy 7.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(13-22) copy 8.jpeg,CEPamastroides - 26.1.05(13-22) copy 8.jpeg,CEP
amastroides,amastroides_eljunco,SL,SL01-031,CEPamastroides@@@26.1.05(13-22) copy 9.jpeg,CEPamastroides - 26.1.05(13-22) copy 9.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 1.jpeg,CEPbauri  - 2X1105(21-32) copy 1.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 10.jpeg,CEPbauri  - 2X1105(21-32) copy 10.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 11.jpeg,CEPbauri  - 2X1105(21-32) copy 11.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 12.jpeg,CEPbauri  - 2X1105(21-32) copy 12.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 13.jpeg,CEPbauri  - 2X1105(21-32) copy 13.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 14.jpeg,CEPbauri  - 2X1105(21-32) copy 14.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 15.jpeg,CEPbauri  - 2X1105(21-32) copy 15.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 16.jpeg,CEPbauri  - 2X1105(21-32) copy 16.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 17.jpeg,CEPbauri  - 2X1105(21-32) copy 17.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 18.jpeg,CEPbauri  - 2X1105(21-32) copy 18.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 19.jpeg,CEPbauri  - 2X1105(21-32) copy 19.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 2.jpeg,CEPbauri  - 2X1105(21-32) copy 2.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 20.jpeg,CEPbauri  - 2X1105(21-32) copy 20.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 3.jpeg,CEPbauri  - 2X1105(21-32) copy 3.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 4.jpeg,CEPbauri  - 2X1105(21-32) copy 4.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 5.jpeg,CEPbauri  - 2X1105(21-32) copy 5.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 6.jpeg,CEPbauri  - 2X1105(21-32) copy 6.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 7.jpeg,CEPbauri  - 2X1105(21-32) copy 7.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 8.jpeg,CEPbauri  - 2X1105(21-32) copy 8.jpeg,CEP
bauri ,bauri ,SL,SL05-061,CEPbauri @@@2X1105(21-32) copy 9.jpeg,CEPbauri  - 2X1105(21-32) copy 9.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 1.jpeg,CEPblombergi - 8X1105(37-48) copy 1.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 10.jpeg,CEPblombergi - 8X1105(37-48) copy 10.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 11.jpeg,CEPblombergi - 8X1105(37-48) copy 11.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 12.jpeg,CEPblombergi - 8X1105(37-48) copy 12.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 13.jpeg,CEPblombergi - 8X1105(37-48) copy 13.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 14.jpeg,CEPblombergi - 8X1105(37-48) copy 14.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 15.jpeg,CEPblombergi - 8X1105(37-48) copy 15.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 16.jpeg,CEPblombergi - 8X1105(37-48) copy 16.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 17.jpeg,CEPblombergi - 8X1105(37-48) copy 17.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 19.jpeg,CEPblombergi - 8X1105(37-48) copy 19.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 2.jpeg,CEPblombergi - 8X1105(37-48) copy 2.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 20.jpeg,CEPblombergi - 8X1105(37-48) copy 20.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 3.jpeg,CEPblombergi - 8X1105(37-48) copy 3.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 4.jpeg,CEPblombergi - 8X1105(37-48) copy 4.jpeg,CEP
