"","x"
"achatellinus",0.00106006661237811
"adelphus",0.00131737504550012
"akamatus",0.00116616962044617
"albermarlensis",0.000798829847483458
"albermarlensis CA",0.00138645979906004
"alethorhytidus",0.000850757423165702
"amastroides",0.000964271120325984
"amastroides_eljunco",0.00112243070392173
"approximatus",0.000917097974780125
"basiplicatus",0.00136779671210442
"bauri ",0.00113810914425174
"blombergi",0.0010815834775932
"blunt_sculpturatus",0.000982683668345394
"calvus",0.00163664259689883
"canaliferus",0.00177331266780286
"cavagnaroi",0.0010117057811761
"cf. cucullinus FL",0.00148949290549033
"chemnitzioides",0.00171425175137424
"corini",0.000936447653408543
"darwini",0.00091275203161756
"duncanus",0.00125582437671766
"elaeodes",0.0013619644955477
"eos",0.00124234632877403
"eschariferus",0.00117563262989843
"galapaganus",0.00381872765706018
"habeli",0.00125122262390565
"hemaerodes",0.0012730454514394
"hirsutus",0.00195359039768331
"invalidus",0.000953646233601985
"jacobi",0.00114178539580759
"jacobinus",0.000801622940226707
"jervisensis",0.000676725694052644
"krameri MS",0.000881927662651738
"lycodus",0.0013422252282335
"nesioticus",0.00107006527125483
"nsp AL1",0.000824356865491817
"nsp CA1",0.000756724832019054
"nsp CA2",0.000904915010830847
"nsp DA1",0.000773062479072327
"nsp DA2",0.000896030023114423
"nsp PI1",0.000857638087282507
"nsp SC2",0.00111946525607085
"nsp SC3",0.00100728135238691
"nsp WF1",0.000987650446937591
"nux",0.00171947926779433
"ochsneri",0.00136760207345062
"olla",0.00105225455626734
"perrus",0.00111771459338009
"perrus1",0.00076296986971419
"perspectivus",0.00236355867446761
"phanaticus MS",0.00173143461190109
"pinzonensis",0.000899809234211102
"pinzonopsis",0.00100362487511534
"prepinguis",0.000940898118727563
"reibischii",0.00156071789645813
"rugiferus",0.00153030261799366
"rugulosus",0.001660055551976
"saeronius",0.00115664895860374
"sculpturatus",0.00109092682831744
"simrothi",0.00100103708520264
"snodgrassi",0.00117588541125982
"steadmani",0.00161202146514838
"tanneri",0.00134456894223595
"tortuganus",0.00105759297196392
"trogonius",0.00185545938567651
"unifasciatus",0.00127169559472693
"ustulatus",0.00126897602451533
"ventrosus",0.00127629920596206
"wolfi",0.0017905832360674
