"island","species","num_occ","matched2mt","num_mtSeq","matched2size","size"
"SL","achatellinus",3,TRUE,1,TRUE,23.8857742568636
"SL","amastroides",7,TRUE,16,TRUE,13.7120511570296
"SL","basiplicatus",15,TRUE,2,TRUE,22.5591514490086
"SL","bauri",7,TRUE,1,FALSE,NA
"SL","canaliferus",6,TRUE,5,TRUE,11.1180333028455
"SL","chemnitzioides",8,FALSE,0,TRUE,15.3041985855243
"SL","eschariferus",6,TRUE,1,TRUE,16.4159826413035
"SL","cf. jacobi",1,FALSE,0,FALSE,NA
"SL","nuciformis",7,TRUE,2,FALSE,NA
"SL","nucula",11,FALSE,0,FALSE,NA
"SL","perspectivus",4,FALSE,0,TRUE,19.0903508661273
"SL","cf. perspectivus",2,FALSE,0,FALSE,NA
"SL","cf. nucula",1,FALSE,0,FALSE,NA
"SC","wolfi",35,TRUE,2,TRUE,17.2134474141752
"SC","akamatus",61,TRUE,2,TRUE,18.6293960830225
"SC","althorhytidus",4,FALSE,0,FALSE,NA
"SC","cavagnaroi",5,TRUE,1,TRUE,27.9660383038601
"SC","eos",10,TRUE,5,TRUE,9.14216814742421
"SC","jacobi",24,FALSE,0,TRUE,14.298164594437
"SC","nesioticus",23,FALSE,0,TRUE,14.8571011776339
"SC","ochsneri",36,TRUE,2,TRUE,17.2913902172626
"SC","olla",1,FALSE,0,TRUE,17.9928093151605
"SC","reibischii",9,FALSE,0,TRUE,11.223093596001
"SC","searonius",3,FALSE,0,FALSE,NA
"SC","tanneri",4,FALSE,0,TRUE,14.0689655447749
"SC","unknown black",14,FALSE,0,FALSE,NA
"SC","yannicus",6,FALSE,0,FALSE,NA
"SC","SC_NSP1",65,FALSE,0,FALSE,NA
"SC","SC_NSP2",7,FALSE,0,FALSE,NA
"SC","SC_NSP3",5,FALSE,0,FALSE,NA
"SC","hirsutus",49,TRUE,7,TRUE,9.37820496626296
"SC","SC_NSP4",1,FALSE,0,FALSE,NA
"SC","adserni",7,FALSE,0,FALSE,NA
"SC","lycodus",12,FALSE,0,TRUE,15.416464851012
