,pi,trait
AL_N_sp1,0.008676508676508673,-0.7545052790795967
WF_N_elaeodes,0.010133385133385134,0.06907410156719784
SL_N_canaliferus,0.011752136752136755,-1.2290128231211153
CA_N_trogonius,0.017164637115677502,-2.280873603605094
GD_N_rugulosus,0.0,0.7538720875162221
SA_N_sculpturatus,0.013202075702075702,-0.07132621595459376
SC_N_tanneri,0.0,-0.4328906690095895
SL_N_basiplicatus,0.0,1.1216553875052035
SL_N_eschariferus,0.0,0.1652733809548188
SC_N_cavagnaroi,0.0,1.9607067227728372
SN_N_tortuganus,0.007264957264957266,-0.6211924911318389
PI_N_nov,0.004273504273504274,-0.3290294348292919
SN_N_simrothi,0.03405028387845442,-0.41887121027358454
SC_N_smallblack,0.0,-0.2676206275284976
DA_N_elaeodes,0.007914094452555991,-0.7379730207689947
SA_N_indefatigabilis,0.0,-1.2223740092394073
ES_N_snodgrassi,0.0,1.1494495497881791
FA_N_perrus,0.02005741172407839,-0.33365459067891656
SA_N_nesioticus,0.008669108669108673,-1.2074009318411534
SC_N_blombergi,0.018518518518518517,1.6116688548455436
RA_N_rabidensis,0.002136752136752137,0.207224440048015
FL_N_unifasciatus,0.0028490028490028487,1.0088215001453236
SL_N_bauri,0.0,0.11730855580290722
SA_N_darwini,0.01143369925421208,0.5596848933644436
SN_N_sp1,0.037332112332112345,-0.7095298620626966
SA_N_jacobi,0.017094017094017096,-0.6628379567652702
SA_N_olla,0.010683760683760684,-0.16050446194959633
SL_N_smallperspectivus,0.01495726495726496,0.7409121768076758
SL_N_achatellinus,0.0,0.6000645359326366
SC_N_eos,0.0,0.5662541623141717
SC_N_ochsneri,0.002136752136752137,0.5103441182808002
SL_N_amastroides,0.06746880570409985,-1.220056511099045
FL_N_ustulatus,0.0,0.026424949077088478
PI_N_prepinguis,0.003988603988603988,0.8403172155484677
SC_N_reibischi,0.0470029355274792,-0.8109208837643864
AL_N_sp3,0.02275896944945615,-0.04123691925048423
AL_N_sp2,0.03036479155100852,-0.7611719704377862
SC_N_nesioticus,0.015811965811965808,-0.8698898309020082
SC_N_hirsutus,0.02457264957264957,-0.6835691313451671
SC_N_akamatus,0.002136752136752137,0.8095652727756821
ES_N_hoodensis,0.0056980056980056966,0.7450682029008941
SC_N_wolfi,0.027777777777777783,0.6431619221111555
FL_N_nux,0.00389363722697056,0.9425269307920008
SN_N_albermarlensis,0.01965603840603841,0.6770634737868368
