,abundance,pi
GL-01a,150,0.0111257033344
GL-01b,107,0.023246941966200002
GL-01c,32,0.00025179403248099994
GL-02,2,0.0
GL-03,200,0.028498798299099997
GL-04,12,0.020896656535
GL-05,1,0.0
GL-06,1042,0.00325807829716
GL-07,2,0.0
GL-08,471,0.0034056712138899998
GL-09,228,0.00303933357732
GL-10,2,0.0369230769231
GL-11,69,0.0319926028664
GL-12,38,0.038754307369
GL-13,1,0.0
GL-14,3,0.0
GL-15,8,0.0
GL-16,374,0.006258111210939999
GL-17,204,0.0291742085154
GL-18,19,0.000555555555556
GL-19,6,0.00116754232341
GL-20,6,0.00868055555556
GL-21,387,0.004638742774100001
GL-22,263,0.0032949331747599998
GL-23,65,0.00220327814842
GL-24,17,0.000923147934456
GL-25,4,0.011006289308200001
GL-26,3,0.0106382978723
GL-27,27,0.00255516840883
GL-28,62,0.0260895942886
GL-29,3,0.00101317122594
GL-30,29,0.00830143029958
GL-31,343,0.0175121898237
GL-32,72,0.00285342100366
GL-33,10,0.0048969942587
GL-34,84,0.027705711973200004
GL-35,18,0.0023004370830500003
GL-36,5,0.0015197568389100002
GL-37,7,0.0015197568389100002
GL-38,9,0.0009661835748789999
GL-39,4,0.0212765957447
GL-40,26,0.0037667652990199998
GL-41,28,0.00243931985375
GL-42,6,0.0070523415978
GL-43,1,0.0
GL-44,121,0.021618216304200005
GL-45,16,0.0165224846076
GL-46,9,0.0007598784194530001
GL-47a,54,0.0008557400046760001
GL-47b,123,0.00401565871277
GL-48,10,0.0
GL-49,210,0.005403636388470001
GL-50,65,0.00460213160103
GL-51,35,0.00018996960486300003
GL-52,128,0.0023369375654
GL-53,33,0.00201640940064
GL-54,239,0.0021358744763
