,reunion_spiders
GL-01a,150
GL-01b,107
GL-01c,32
GL-02,2
GL-03,200
GL-04,12
GL-05,1
GL-06,1042
GL-07,2
GL-08,471
GL-09,228
GL-10,2
GL-11,69
GL-12,38
GL-13,1
GL-14,3
GL-15,8
GL-16,374
GL-17,204
GL-18,19
GL-19,6
GL-20,6
GL-21,387
GL-22,263
GL-23,65
GL-24,17
GL-25,4
GL-26,3
GL-27,27
GL-28,62
GL-29,3
GL-30,29
GL-31,343
GL-32,72
GL-33,10
GL-34,84
GL-35,18
GL-36,5
GL-37,7
GL-38,9
GL-39,4
GL-40,26
GL-41,28
GL-42,6
GL-43,1
GL-44,121
GL-45,16
GL-46,9
GL-47a,54
GL-47b,123
GL-48,10
GL-49,210
GL-50,65
GL-51,35
GL-52,128
GL-53,33
GL-54,239
