,pi,trait
Acacia melanoxylon,1.0458662919211533e-05,0.04552203774841284
Acradenia euodiiformis,8.354453767336495e-05,0.9339940797887002
Acronychia pubescens,0.0007543539464026706,-0.2731732720997917
Alangium villosum,1.9590896371668033e-05,-0.9394259312198361
Archirhodomyrtus beckleri,7.833704753117388e-05,1.7496222901613232
Atractocarpus benthamianus,5.877977000859049e-05,-0.0008996282022920033
Austrobuxus swainii,1.9732521721559912e-05,-0.32631154439910864
Breynia oblongifolia,4.140132728515143e-05,0.42168327370052
Callicoma serratifolia,6.96507363824104e-05,1.4079070762593693
Ceratopetalum apetalum,3.217354668470101e-06,1.38234289140277
Cryptocarya erythroxylon,2.007672991561583e-05,-0.8434204753939878
Cryptocarya meissneriana,5.883309742414856e-05,-0.8001020907148765
Cryptocarya obovata,8.872114385870599e-05,-0.7221979912446136
Cryptocarya rigida,1.5695206621117085e-05,-1.2968745027811932
Daphnandra apatela,0.0006413786544760488,0.31591553774836945
Dendrocnide excelsa,0.00014257878265240635,1.80248168753337
Denhamia celastroides,0.00037534205084285507,-0.11572141756466868
Duboisia myoporoides,3.107566068796852e-05,0.7643363858561019
Ehretia acuminata,3.1505261536202855e-05,1.385590530040463
Elaeocarpus kirtonii,6.5467959244231325e-06,-0.1952349272122163
Elaeocarpus reticulatus,3.18226181804527e-06,-0.21792612080788362
Endiandra crassiflora,0.0,-1.0030067798635678
Endiandra muelleri,8.444428045120414e-05,-1.3679376156994327
Eupomatia laurina,7.664678002086707e-06,0.007494313897965563
Ficus coronata,5.927798786797981e-05,1.3171153926769388
Flindersia schottiana,9.68221048738311e-06,-0.8384013884648717
Grevillea robusta,3.5790923028219887e-06,-0.45609175445312844
Homolanthus populifolius,3.26776348058638e-06,-0.0459662230253899
Melicope micrococca,3.303120242990737e-05,0.04305358442079318
Neolitsea australiensis,0.0007598519450053007,-0.7036354183322256
Neolitsea dealbata,2.1961466411035196e-05,-0.6897385560674908
Nothofagus moorei,0.0,0.9910515047230878
Pennantia cunninghamii,0.0,-1.031294163811099
Pittosporum revolutum,0.00026885878354357493,0.017928183359741105
Pittosporum undulatum,0.0004795958333666386,1.1410831904057543
Polyscias elegans,4.304747727792721e-05,1.1794635454688367
Polyscias murrayi,6.283833534337458e-06,0.7305524833587758
Polyscias sambucifolius,8.786382538919606e-05,0.9748051939532896
Pouteria australia,0.000187114253375294,-1.2605817152962548
Quintinia sieberi,6.571921465538487e-05,1.5414310654669876
Rhodamnia rubescens,5.7347332241928635e-05,1.2064086187201875
Sarcopteryx stipata,0.0,-0.3597451753418554
Schizomeria ovata,1.350762446305082e-05,-0.9137610246983241
Scolopia braunii,5.4578870239859685e-05,0.1502970458388672
Stenocarpus salignus,6.139409097222914e-06,-0.48393496386359924
Syzygium oleosum,0.0,-0.7453435659711909
Syzygium smithii,6.2743670928269075e-06,-1.0048422665405692
Tabernaeamontana pandacaqui,1.0127031799048632e-05,-0.351259372633426
Tristaniopsis collina,2.9550875937214235e-05,0.9520894246474111
Trochocarpa laurina,5.969917585287735e-05,1.340117140082147
Wilkea huegeliana,0.0,-0.6832074585638873
