,pi,trait
Acacia melanoxylon,2.788976778456409e-05,0.04552203774841284
Acronychia oblongifolia,7.480929707501258e-06,0.6016726939619422
Acronychia pubescens,9.63005037960856e-06,-0.2731732720997917
Alangium villosum,0.0,-0.9394259312198361
Alphitonia excelsa,0.0,0.13381374469887442
Brachychiton acerifolius,0.0,-1.27260522036833
Breynia oblongifolia,6.624212365624229e-05,0.42168327370052
Caldcluvia paniculosa,2.013748194548884e-05,1.551808588044865
Callicoma serratifolia,0.0,1.4079070762593693
Cinnamomum oliveri,9.546115613960811e-06,-1.3062568146927287
Cryptocarya erythroxylon,3.3461216526026383e-06,-0.8434204753939878
Cryptocarya glaucescens,0.000302995604802128,-1.0718377204442417
Cryptocarya meissneriana,3.4607704367146216e-05,-0.8001020907148765
Cryptocarya obovata,3.9431619492758214e-05,-0.7221979912446136
Cryptocarya rigida,4.0807537214904415e-05,-1.2968745027811932
Daphnandra apatela,4.423301065352061e-05,0.31591553774836945
Dendrocnide excelsa,3.315785643079218e-05,1.80248168753337
Denhamia celastroides,0.000385133582603973,-0.11572141756466868
Diospyros australis,2.5053755965142707e-05,-0.8410791319779882
Diospyros pentamera,1.6186934489209952e-05,-0.3078486105356503
Diploglottis cunninghamii,0.0,-1.199948918027825
Duboisia myoporoides,3.107566068796851e-06,0.7643363858561019
Ehretia acuminata,7.876315384050714e-05,1.385590530040463
Elaeocarpus kirtonii,2.9460581659904096e-05,-0.1952349272122163
Elaeocarpus reticulatus,4.773392727067905e-05,-0.21792612080788362
Endiandra crassiflora,0.0,-1.0030067798635678
Endiandra muelleri,9.545875181440468e-05,-1.3679376156994327
Eupomatia laurina,0.00018778461105112436,0.007494313897965563
Ficus coronata,1.2479576393258906e-05,1.3171153926769388
Grevillea robusta,0.0,-0.45609175445312844
Guioa semiglauca,3.5450533743236032e-06,-0.35745392908081736
Melicope micrococca,2.312184170093516e-05,0.04305358442079318
Neolitsea dealbata,6.2747046888671986e-06,-0.6897385560674908
Orites excelsus,1.0806546605933873e-05,-0.287063034408439
Pennantia cunninghamii,0.0,-1.031294163811099
Pittosporum revolutum,5.182819923731565e-05,0.017928183359741105
Pittosporum undulatum,3.061250000212586e-05,1.1410831904057543
Polyosma cunninghamii,1.997047697820056e-05,-0.582307557220882
Polyscias elegans,9.900919773923258e-05,1.1794635454688367
Polyscias murrayi,9.425750301506186e-06,0.7305524833587758
Polyscias sambucifolius,2.2779510286087867e-05,0.9748051939532896
Quintinia sieberi,0.0,1.5414310654669876
Rhodamnia rubescens,0.0,1.2064086187201875
Schizomeria ovata,3.376906115762705e-06,-0.9137610246983241
Scolopia braunii,0.00011557878403734992,0.1502970458388672
Stenocarpus salignus,0.0,-0.48393496386359924
Synoum glandulosum,0.0,-1.0660339993042536
Syzygium smithii,0.0001568591773206727,-1.0048422665405692
Tabernaeamontana pandacaqui,0.0,-0.351259372633426
Toona ciliata,0.0006753984947056049,0.2671170823016129
Tristaniopsis collina,3.2834306596904705e-06,0.9520894246474111
Trochocarpa laurina,0.0004298340661407169,1.340117140082147
Wilkea huegeliana,1.2244928571505102e-05,-0.6832074585638873
