S_m	J_m	speciation_rate	death_proportion	trait_rate_meta	ecological_strength	generations	community_assembly_model	speciation_model	mutation_rate	alpha	sequence_length	J	m	speciation_prob	generation	_lambda	migrate_calculated	extrate_calculated	trait_rate_local	filtering_optimum	S	abund_h1	abund_h2	abund_h3	abund_h4	pi_h1	pi_h2	pi_h3	pi_h4	mean_pi	std_pi	skewness_pi	kurtosis_pi	median_pi	iqr_pi	mean_dxys	std_dxys	skewness_dxys	kurtosis_dxys	median_dxys	iqr_dxys	trees	trait_h1	trait_h2	trait_h3	trait_h4	mean_local_traits	std_local_traits	skewness_local_traits	kurtosis_local_traits	median_local_traits	iqr_local_traits	mean_regional_traits	std_regional_traits	skewness_regional_traits	kurtosis_regional_traits	median_regional_traits	iqr_regional_traits	reg_loc_mean_trait_dif	reg_loc_std_trait_dif	reg_loc_skewness_trait_dif	reg_loc_kurtosis_trait_dif	reg_loc_median_trait_dif	reg_loc_iqr_trait_dif	abundance_dxy_cor	abundance_pi_cor	abundance_trait_cor	dxy_pi_cor	dxy_trait_cor	pi_trait_cor	SGD_0	SGD_1	SGD_2	SGD_3	SGD_4	SGD_5	SGD_6	SGD_7	SGD_8	SGD_9
100	750000	2.0	0.7	2.0	1.0	0.0	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.315	0.0084	0.00333	0.58824	-1.67811	11.0	2.50153	1.88076	1.68866	1.60366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00281	0.00378	1.45874	0.5294	0.0014	0.00237	0.0	4.11322	3.4431	3.25372	3.1599	0.30123	2.36774	-0.63137	-0.2917	0.85637	3.27596	0.73099	2.29001	-0.34736	0.13888	1.07261	2.42761	0.42976	-0.07772	0.284	0.43058	0.21624	-0.84834	0.39535	0.0	0.34977	0.0	0.0367	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	0.0	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	16.0	1.0	0.01238	0.00875	0.58824	2.8379	6.0	3.58248	3.11682	2.86096	2.69839	1.0	1.0	1.0	1.0	6e-05	0.00013	1.78885	1.2	0.0	0.0	0.0019	0.00127	-0.24711	-1.53228	0.00219	0.00219	0.0	4.48816	4.18976	4.01695	3.88434	1.25061	4.04898	0.00961	-1.94961	1.20652	7.7457	1.36081	2.34633	0.1554	-0.84244	1.04804	3.46039	0.1102	-1.70265	0.14579	1.10717	-0.15848	-4.28531	-0.31429	0.39279	0.6	-0.65465	-0.31429	0.39279	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	12.0	0.427	0.00967	0.00433	0.58824	-2.91287	8.0	3.77671	2.63502	2.22989	2.05869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00342	0.00427	1.29164	0.20183	0.00167	0.00316	0.0	5.57956	4.63128	4.21195	3.98276	-2.84431	3.28495	0.12633	-1.44687	-3.22813	5.65866	-3.3024	2.46105	0.1831	-0.72088	-3.20087	3.27951	-0.45809	-0.82389	0.05677	0.72599	0.02726	-2.37915	0.56288	0.0	0.28571	0.0	-0.2036	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	0.0	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	13.0	0.977	0.00923	0.00092	0.58824	2.53155	13.0	4.93258	3.91294	3.67526	3.57861	3.61306	3.3355	3.15449	3.03821	0.00019	0.00033	1.47833	0.66746	0.0	0.00035	0.00387	0.00438	1.1785	-0.16477	0.00175	0.00316	0.0	5.12057	3.98446	3.7384	3.64355	-0.56685	2.2618	-0.1878	-1.40479	0.13512	3.88676	-0.49663	2.1534	-0.03196	-0.93254	-0.27802	3.75592	0.07022	-0.1084	0.15584	0.47224	-0.41313	-0.13083	0.44751	0.63387	0.20661	0.07755	-0.25069	0.56152	9.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	14.0	0.311	0.00986	0.00557	0.58824	-4.84159	5.0	2.12714	1.80998	1.68021	1.61133	1.0	1.0	1.0	1.0	0.00021	0.00042	1.5	0.25	0.0	0.0	0.00414	0.00579	1.43653	0.17009	0.00193	0.00105	0.0	5.33728	4.04751	3.33986	3.00596	-4.77468	3.24496	0.41088	-1.8055	-7.24693	6.16857	-4.05602	1.9965	0.08166	-1.15683	-4.38464	3.3395	0.71866	-1.24846	-0.32922	0.64867	2.86229	-2.82907	0.97468	0.72548	-0.56429	0.70711	-0.4	-0.70711	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	16.0	0.613	0.01138	0.00275	0.58824	-0.29163	14.0	3.61222	2.90963	2.74274	2.66583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00303	0.00383	1.56949	1.10144	0.00149	0.00285	0.0	3.89012	3.08201	2.86456	2.7567	-0.40074	1.80599	0.06588	-1.08833	-1.18771	2.64729	-0.60086	1.34785	0.26552	-0.3883	-0.81388	1.93691	-0.20011	-0.45814	0.19964	0.70003	0.37383	-0.71038	0.10444	0.0	0.30974	0.0	-0.35541	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	0.0	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	11.0	1.0	0.01145	0.00618	0.58824	5.19006	2.0	1.37498	1.21239	1.16466	1.14568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.01211	0.01175	0.0	-2.0	0.01211	0.01175	0.0	3.37886	3.37886	3.37886	3.37886	0.80666	6.06902	0.0	-2.0	0.80666	6.06902	1.55149	4.00335	-1.29714	1.1593	2.64879	3.93771	0.74483	-2.06567	-1.29714	3.1593	1.84214	-2.13131	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	0.0	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	20.0	0.913	0.0104	0.0073	0.58824	-6.3384	3.0	1.42658	1.21978	1.1687	1.14909	1.97035	1.94226	1.91637	1.89305	0.00075	0.00056	-0.45564	-1.5	0.00094	0.00066	0.00357	0.00261	0.32468	-1.5	0.00298	0.00316	0.0	3.94418	3.70141	3.62547	3.59458	6.05825	8.87307	-0.7071	-1.5	12.32068	9.41719	2.81908	5.46411	0.38723	-0.81493	2.37722	6.67452	-3.23917	-3.40896	1.09433	0.68507	-9.94346	-2.74268	-0.5	0.5	0.5	-1.0	-1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.678	0.01173	0.00307	0.58824	0.04633	15.0	5.36303	4.19488	3.84789	3.68017	3.53545	3.11521	2.80963	2.61197	0.00014	0.00026	2.15485	3.95819	0.0	0.00018	0.00494	0.00836	3.01127	8.05713	0.00263	0.00421	0.0	6.01142	4.57156	4.10055	3.8866	0.12275	1.98006	0.53389	-0.3054	-0.62446	2.25379	0.19569	1.79814	-0.22113	0.13821	0.21683	2.03791	0.07295	-0.18192	-0.75502	0.44362	0.84129	-0.21587	0.53071	0.32364	0.26331	0.54455	-0.32708	-0.22592	11.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.00973	0.0052	0.58824	1.70374	2.0	1.72707	1.56399	1.47588	1.42746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00254	0.00237	0.0	-2.0	0.00254	0.00237	0.0	2.35503	2.35503	2.35503	2.35503	3.61922	6.92056	0.0	-2.0	3.61922	6.92056	2.33584	3.75141	0.04206	-0.16413	2.30516	4.85675	-1.28338	-3.16915	0.04206	1.83587	-1.31406	-2.06381	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
