S_m	J_m	speciation_rate	death_proportion	trait_rate_meta	ecological_strength	generations	community_assembly_model	speciation_model	mutation_rate	alpha	sequence_length	J	m	speciation_prob	generation	_lambda	migrate_calculated	extrate_calculated	trait_rate_local	filtering_optimum	S	abund_h1	abund_h2	abund_h3	abund_h4	pi_h1	pi_h2	pi_h3	pi_h4	mean_pi	std_pi	skewness_pi	kurtosis_pi	median_pi	iqr_pi	mean_dxys	std_dxys	skewness_dxys	kurtosis_dxys	median_dxys	iqr_dxys	trees	trait_h1	trait_h2	trait_h3	trait_h4	mean_local_traits	std_local_traits	skewness_local_traits	kurtosis_local_traits	median_local_traits	iqr_local_traits	mean_regional_traits	std_regional_traits	skewness_regional_traits	kurtosis_regional_traits	median_regional_traits	iqr_regional_traits	reg_loc_mean_trait_dif	reg_loc_std_trait_dif	reg_loc_skewness_trait_dif	reg_loc_kurtosis_trait_dif	reg_loc_median_trait_dif	reg_loc_iqr_trait_dif	abundance_dxy_cor	abundance_pi_cor	abundance_trait_cor	dxy_pi_cor	dxy_trait_cor	pi_trait_cor	SGD_0	SGD_1	SGD_2	SGD_3	SGD_4	SGD_5	SGD_6	SGD_7	SGD_8	SGD_9
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.941	0.01133	0.00387	0.58824	6.00451	10.0	5.76326	4.20872	3.49456	3.13864	1.9221	1.8546	1.79954	1.75636	0.0001	0.0002	1.81479	1.68646	0.0	0.0	0.00212	0.0017	0.52535	-0.14157	0.00219	0.00215	0.0	5.44506	4.85729	4.63666	4.52066	3.07336	3.72986	-0.70588	-0.74757	4.78427	6.01608	2.51108	3.22091	0.14991	-1.0663	1.92774	5.77173	-0.56228	-0.50895	0.85579	-0.31873	-2.85653	-0.24435	0.19453	-0.2768	0.46667	0.22558	0.34043	-0.2076	8.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01027	0.00573	0.58824	0.83066	5.0	3.10684	2.50898	2.22964	2.08471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00347	0.00506	1.43377	0.15958	0.00105	0.0014	0.0	4.59166	4.23201	4.00788	3.85008	-0.6249	4.80922	0.40504	-1.82888	-4.31187	9.60087	1.33589	3.20664	-0.29081	-0.78048	1.51846	4.55888	1.96079	-1.60258	-0.69585	1.04841	5.83033	-5.04199	0.7	0.0	-0.3	0.0	-0.8	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01	0.00587	0.58824	-2.94675	3.0	2.14081	1.86932	1.74722	1.67824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00444	0.00245	0.68269	-1.5	0.00298	0.00272	0.0	2.59714	2.43388	2.37348	2.34703	-3.28651	6.89588	0.70711	-1.5	-8.16141	7.3148	-1.58988	3.86305	-0.25817	-0.44933	-1.2566	4.08037	1.69663	-3.03283	-0.96528	1.05067	6.90481	-3.23443	1.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.053	0.0088	0.00533	0.58824	-2.08682	4.0	1.20226	1.08151	1.06147	1.05447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00487	0.00707	1.10088	-0.71275	0.00123	0.00583	0.0	6.06572	5.75089	5.68782	5.664	1.76203	3.60654	-0.01538	-1.89786	1.82019	6.53688	0.93737	2.19048	0.31077	-0.36284	0.6635	3.33807	-0.82465	-1.41606	0.32615	1.53502	-1.15669	-3.1988	1.0	0.0	0.4	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.00947	0.00293	0.58824	0.81869	4.0	2.91778	2.51931	2.34794	2.25364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00246	0.00088	-0.0	-1.0784	0.00246	0.00088	0.0	3.1222	2.7351	2.59132	2.52748	1.61682	3.45855	-0.01068	-1.97551	1.69941	6.63726	1.81789	2.02607	0.02587	-1.04342	1.78691	3.42292	0.20107	-1.43248	0.03655	0.93209	0.0875	-3.21434	-0.2	0.0	-0.4	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.764	0.00947	0.00427	0.58824	2.72272	6.0	3.12801	2.49843	2.2339	2.09672	1.88988	1.8	1.73205	1.68272	0.00018	0.00027	1.12226	-0.36735	0.0	0.00026	0.00743	0.011	1.70055	1.04247	0.00307	0.00311	0.0	6.68548	5.21383	4.37326	3.88747	1.5937	3.26481	-0.03025	-1.8821	1.64444	5.93536	1.15224	2.20392	0.13117	-0.55426	1.02526	3.02179	-0.44146	-1.06088	0.16142	1.32785	-0.61918	-2.91357	0.65714	0.77754	-0.2	0.67612	-0.14286	-0.67612	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.00827	0.0044	0.58824	-0.06825	2.0	1.72504	1.5614	1.47334	1.42507	1.0	1.0	1.0	1.0	0.00018	0.00018	0.0	-2.0	0.00018	0.00018	0.00149	9e-05	0.0	-2.0	0.00149	9e-05	0.0	2.3585	2.3585	2.3585	2.3585	1.22122	5.53129	0.0	-2.0	1.22122	5.53129	1.08984	2.72771	-0.1386	-0.23349	1.16408	3.42179	-0.13138	-2.80358	-0.1386	1.76651	-0.05714	-2.1095	-1.0	1.0	0.0	-1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01	0.0048	0.58824	0.31421	5.0	2.1368	1.7172	1.56158	1.49286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00572	0.00656	1.18475	-0.17976	0.00368	0.00474	0.0	4.06143	3.76564	3.64483	3.57275	-1.50911	2.02441	0.60496	-1.29379	-2.69984	2.93638	-1.21224	2.45296	-0.50782	-0.55433	-0.75729	3.14184	0.29687	0.42854	-1.11277	0.73946	1.94255	0.20546	-0.41039	0.0	0.66689	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01093	0.00733	0.58824	-2.80911	2.0	1.60465	1.42142	1.34197	1.304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	9e-05	9e-05	0.0	-2.0	9e-05	9e-05	0.0	2.59728	2.59728	2.59728	2.59728	-0.57539	4.94522	0.0	-2.0	-0.57539	4.94522	-1.17631	2.86162	0.05605	-0.59468	-1.27287	4.11778	-0.60092	-2.08359	0.05605	1.40532	-0.69749	-0.82743	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.025	0.01	0.00667	0.58824	0.081	2.0	1.02642	1.00803	1.00603	1.00536	1.0	1.0	1.0	1.0	0.00035	0.00035	0.0	-2.0	0.00035	0.00035	0.00965	0.00421	0.0	-2.0	0.00965	0.00421	0.0	15.84311	15.84311	15.84311	15.84311	-0.04758	3.01241	0.0	-2.0	-0.04758	3.01241	-0.18477	2.19537	-0.34357	-0.75174	0.47279	3.49131	-0.13719	-0.81705	-0.34357	1.24826	0.52037	0.47889	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.0124	0.00707	0.58824	2.70026	2.0	1.06716	1.02429	1.01827	1.01623	1.0	1.0	1.0	1.0	0.00018	0.00018	0.0	-2.0	0.00018	0.00018	0.00316	0.00088	0.0	-2.0	0.00316	0.00088	0.0	9.18398	9.18398	9.18398	9.18398	0.55764	3.43788	0.0	-2.0	0.55764	3.43788	1.53514	2.02794	-0.29369	-0.45928	1.66642	2.8976	0.9775	-1.40994	-0.29369	1.54072	1.10878	-0.54028	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01187	0.00747	0.58824	1.39798	4.0	1.82647	1.42725	1.32358	1.284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00333	0.00358	0.76225	-1.05452	0.00202	0.00447	0.0	4.55164	4.035	3.8935	3.83843	1.5344	5.4463	-0.00119	-1.99841	1.60762	10.81009	1.52232	3.07757	-0.28854	-0.74027	2.17171	4.98441	-0.01209	-2.36873	-0.28735	1.25814	0.56409	-5.82568	0.2	0.0	-0.8	0.0	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
