S_m	J_m	speciation_rate	death_proportion	trait_rate_meta	ecological_strength	generations	community_assembly_model	speciation_model	mutation_rate	alpha	sequence_length	J	m	speciation_prob	generation	_lambda	migrate_calculated	extrate_calculated	trait_rate_local	filtering_optimum	S	abund_h1	abund_h2	abund_h3	abund_h4	pi_h1	pi_h2	pi_h3	pi_h4	mean_pi	std_pi	skewness_pi	kurtosis_pi	median_pi	iqr_pi	mean_dxys	std_dxys	skewness_dxys	kurtosis_dxys	median_dxys	iqr_dxys	trees	trait_h1	trait_h2	trait_h3	trait_h4	mean_local_traits	std_local_traits	skewness_local_traits	kurtosis_local_traits	median_local_traits	iqr_local_traits	mean_regional_traits	std_regional_traits	skewness_regional_traits	kurtosis_regional_traits	median_regional_traits	iqr_regional_traits	reg_loc_mean_trait_dif	reg_loc_std_trait_dif	reg_loc_skewness_trait_dif	reg_loc_kurtosis_trait_dif	reg_loc_median_trait_dif	reg_loc_iqr_trait_dif	abundance_dxy_cor	abundance_pi_cor	abundance_trait_cor	dxy_pi_cor	dxy_trait_cor	pi_trait_cor	SGD_0	SGD_1	SGD_2	SGD_3	SGD_4	SGD_5	SGD_6	SGD_7	SGD_8	SGD_9
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	29.0	0.262	0.01	0.00207	0.58824	1.82885	16.0	2.93597	1.69983	1.50285	1.43677	4.93099	4.85612	4.77715	4.69649	0.00022	0.00033	0.95883	-0.8279	0.0	0.00062	0.00325	0.00304	0.9677	-0.31384	0.00219	0.00298	0.0	7.58095	6.42915	6.07942	5.88511	2.06319	1.80803	-0.43431	-0.95428	2.14073	2.33535	2.4423	2.6727	0.30199	-0.87254	1.98942	3.99594	0.37911	0.86467	0.7363	0.08174	-0.15131	1.66059	0.53591	0.45162	0.10059	0.34146	0.41354	0.09338	11.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	117.0	0.859	0.00997	0.00157	0.58824	-2.35993	17.0	10.90452	8.82535	7.91394	7.40074	9.70636	9.01879	8.62592	8.37676	0.00083	0.00078	0.27533	-1.55486	0.00082	0.00164	0.00583	0.00553	1.48293	1.80844	0.00368	0.00404	0.0	10.94676	8.79822	7.90001	7.40448	-0.98046	2.48657	0.44355	-0.68834	-0.87094	3.82433	-0.23122	2.52861	-0.28028	-0.52345	0.23879	3.30295	0.74924	0.04205	-0.72383	0.16489	1.10973	-0.52137	0.70798	0.42008	-0.16064	0.59275	-0.32128	0.14433	6.0	2.0	0.0	2.0	1.0	0.0	0.0	2.0	3.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	43.0	0.457	0.01023	0.00209	0.58824	-1.60296	14.0	4.37871	2.59649	2.15762	1.99179	3.70753	3.12164	2.88404	2.7747	0.00034	0.00063	1.86152	1.78448	0.0	0.00035	0.00327	0.00399	1.47211	1.25738	0.00132	0.00395	0.0	6.50278	4.78705	4.27382	4.04334	-1.09516	2.20614	-0.06265	-1.16038	-0.34339	3.5307	-0.4985	2.47239	-0.36027	-0.77306	-0.06208	3.82818	0.59666	0.26625	-0.29762	0.38731	0.28132	0.29748	0.10143	0.4308	0.45105	0.70502	-0.55066	-0.33241	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	44.0	0.426	0.00986	0.00159	0.58824	-0.22369	15.0	4.49929	2.39658	1.97793	1.83587	7.31029	6.86287	6.56013	6.33933	0.00046	0.0005	0.51991	-1.25811	0.00035	0.00088	0.0043	0.00429	1.12843	-0.08817	0.00175	0.00465	0.0	8.73948	6.63043	6.05505	5.78412	1.37205	2.54222	-0.01005	-0.67255	1.34243	2.53872	2.47633	2.57162	0.18886	-0.57287	1.93629	3.21422	1.10428	0.0294	0.19891	0.09968	0.59385	0.6755	0.55891	0.44213	-0.21646	0.26264	-0.21702	-0.02075	7.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	55.0	0.508	0.01153	0.00211	0.58824	-0.83199	18.0	5.48538	2.97308	2.38683	2.17576	4.51954	4.13834	3.853	3.64486	0.00022	0.0004	1.7578	2.01261	0.0	0.00026	0.00423	0.00586	2.46975	5.83686	0.00219	0.00404	0.0	8.5604	6.21954	5.57178	5.28612	-0.24856	2.38343	0.00551	-1.39097	-0.38734	4.05995	-0.55738	2.10176	0.15802	-0.60798	-0.53367	3.009	-0.30882	-0.28168	0.15251	0.78299	-0.14633	-1.05094	0.26229	0.42308	-0.1727	0.04577	0.21064	0.49017	13.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	69.0	0.523	0.00988	0.0018	0.58824	5.68507	17.0	5.65874	3.2321	2.58454	2.341	5.37712	4.898	4.56883	4.35012	0.00022	0.00034	1.39875	0.62456	0.0	0.00035	0.0031	0.00381	1.468	0.91754	0.0014	0.00333	0.0	9.11725	6.49251	5.6224	5.23455	2.54332	1.4512	0.17495	-0.6491	2.8281	2.07721	2.31862	1.54283	0.07337	-0.04907	2.37375	1.94544	-0.2247	0.09164	-0.10158	0.60002	-0.45435	-0.13177	0.47936	0.35193	0.07617	0.38822	0.10818	0.02878	11.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	131.0	0.827	0.00997	0.00145	0.58824	1.30436	17.0	9.13682	7.09955	6.20613	5.68103	9.99308	8.19816	7.1444	6.49249	0.00106	0.0011	1.29536	1.11734	0.00082	0.00109	0.00422	0.00481	1.06943	-0.3311	0.00211	0.00684	0.0	9.78726	7.80599	7.01259	6.57593	-0.4217	2.956	0.17181	-0.60727	-0.36454	3.63993	-1.05592	2.90771	0.21715	-0.73522	-1.11944	4.59923	-0.63422	-0.0483	0.04534	-0.12796	-0.7549	0.9593	0.2908	0.37702	-0.12255	0.80633	0.14724	0.18913	7.0	1.0	3.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	109.0	0.829	0.00974	0.0018	0.58824	3.77567	19.0	10.36278	8.14783	7.06155	6.37972	7.2461	5.2784	4.26554	3.76631	0.00045	0.00073	2.63448	7.00603	0.00035	0.00062	0.00558	0.00526	1.00151	-0.13174	0.00386	0.00711	0.0	10.99705	9.17705	8.37687	7.90705	-0.43748	1.67805	-0.08866	-0.94179	-0.26528	2.3301	-0.45317	2.1182	0.3408	-0.5007	-0.50815	3.2421	-0.01569	0.44014	0.42946	0.44109	-0.24287	0.912	0.14637	0.35063	0.03689	0.20421	-0.18613	0.11859	9.0	7.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	7.0	0.069	0.01314	0.00257	0.58824	-2.08749	12.0	1.39311	1.13267	1.09899	1.08754	1.9221	1.8546	1.79954	1.75636	8e-05	0.00019	2.11463	2.91098	0.0	0.0	0.00458	0.00826	2.50374	4.97795	0.00175	0.00281	0.0	12.64549	8.79615	7.40859	6.84202	-4.08847	2.74234	0.26703	0.15592	-4.2437	2.72743	-2.23892	3.26784	0.41913	-0.61186	-3.08282	4.75628	1.84955	0.5255	0.1521	-0.76778	1.16088	2.02885	0.53951	0.04668	0.51798	0.15104	0.34386	-0.29566	10.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	5.0	0.031	0.0088	0.002	0.58824	-3.80059	9.0	1.1892	1.05611	1.04191	1.03717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00212	0.00322	2.28798	3.60676	0.00158	0.00123	0.0	15.55457	14.41044	13.93459	13.63427	-0.73201	2.48074	0.85994	0.28188	-0.33921	2.60802	0.27364	2.88196	-0.12445	-0.84177	0.03847	5.29591	1.00565	0.40122	-0.98439	-1.12365	0.37768	2.68788	0.50002	0.0	0.69803	0.0	0.55701	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
