S_m	J_m	speciation_rate	death_proportion	trait_rate_meta	ecological_strength	generations	community_assembly_model	speciation_model	mutation_rate	alpha	sequence_length	J	m	speciation_prob	generation	_lambda	migrate_calculated	extrate_calculated	trait_rate_local	filtering_optimum	S	abund_h1	abund_h2	abund_h3	abund_h4	pi_h1	pi_h2	pi_h3	pi_h4	mean_pi	std_pi	skewness_pi	kurtosis_pi	median_pi	iqr_pi	mean_dxys	std_dxys	skewness_dxys	kurtosis_dxys	median_dxys	iqr_dxys	trees	trait_h1	trait_h2	trait_h3	trait_h4	mean_local_traits	std_local_traits	skewness_local_traits	kurtosis_local_traits	median_local_traits	iqr_local_traits	mean_regional_traits	std_regional_traits	skewness_regional_traits	kurtosis_regional_traits	median_regional_traits	iqr_regional_traits	reg_loc_mean_trait_dif	reg_loc_std_trait_dif	reg_loc_skewness_trait_dif	reg_loc_kurtosis_trait_dif	reg_loc_median_trait_dif	reg_loc_iqr_trait_dif	abundance_dxy_cor	abundance_pi_cor	abundance_trait_cor	dxy_pi_cor	dxy_trait_cor	pi_trait_cor	SGD_0	SGD_1	SGD_2	SGD_3	SGD_4	SGD_5	SGD_6	SGD_7	SGD_8	SGD_9
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	28.0	0.874	0.00907	0.001	0.58824	4.18268	19.0	9.52659	7.39645	6.70535	6.37035	7.88142	7.03538	6.43599	6.01356	0.00036	0.00047	1.17834	0.41727	0.0	0.00062	0.0033	0.00482	1.71371	1.35936	0.00088	0.00272	0.0	9.10282	7.33455	6.73488	6.4481	-1.03584	2.41533	-1.34515	1.16132	-0.3028	2.42324	-0.55047	2.19341	-0.92619	1.49721	-0.33316	2.51896	0.48537	-0.22192	0.41896	0.33589	-0.03036	0.09572	0.18206	0.00095	0.48376	0.24864	-0.03954	0.18354	10.0	0.0	3.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	8.0	0.358	0.00975	0.00075	0.58824	-2.18432	11.0	3.69504	2.26163	1.91803	1.78995	1.0	1.0	1.0	1.0	3e-05	0.0001	2.84605	6.1	0.0	0.0	0.00223	0.00269	1.63498	1.64978	0.00088	0.00184	0.0	6.96157	5.40752	4.86122	4.59635	0.29385	3.27962	0.28753	-1.09183	0.16885	5.3587	0.61415	2.53104	0.07934	-0.77001	0.3453	3.53575	0.3203	-0.74858	-0.20818	0.32182	0.17645	-1.82295	0.3825	0.50114	0.51025	0.50578	0.21611	-0.2	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	117.0	0.958	0.00969	0.00144	0.58824	-0.85654	17.0	11.5839	10.37495	9.67871	9.16105	9.38947	7.87358	7.18076	6.79299	0.00113	0.00121	0.90341	-0.61149	0.00035	0.00144	0.00505	0.0051	1.01017	0.24481	0.00316	0.00667	0.0	10.934	9.88545	9.28805	8.85274	-0.80878	2.36621	0.45879	-0.78442	-1.61979	3.05217	-1.50393	2.04983	0.55769	-0.46538	-1.8513	3.27673	-0.69515	-0.31638	0.0989	0.31904	-0.23152	0.22456	0.33067	0.62471	0.36665	0.78214	-0.0466	0.04745	9.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	8.0	0.259	0.00875	0.00025	0.58824	1.76416	15.0	3.0385	1.77103	1.5569	1.48324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00778	0.01552	2.88922	7.3241	0.00158	0.00649	0.0	7.90724	5.73721	5.04662	4.73527	0.25342	2.15842	-0.76072	0.24184	0.56923	2.30173	0.71103	2.45649	-0.5229	0.28341	1.15786	3.0209	0.45761	0.29807	0.23782	0.04158	0.58863	0.71917	0.47294	0.0	0.19499	0.0	0.52074	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	11.0	0.677	0.01218	0.00127	0.58824	0.5116	14.0	7.86748	5.90026	4.89856	4.3448	1.0	1.0	1.0	1.0	4e-05	0.00016	3.3282	9.07692	0.0	0.0	0.00326	0.00328	1.17904	0.08037	0.00158	0.00364	0.0	8.23836	6.94548	6.30518	5.94844	1.75996	2.57662	-1.21316	0.72679	2.69261	3.15926	1.37022	1.987	-0.64051	0.90889	1.47783	2.50481	-0.38974	-0.58962	0.57265	0.1821	-1.21478	-0.65445	0.09592	0.30995	-0.044	0.0	-0.03304	0.30961	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	2.0	0.008	0.005	0.0	0.58824	-2.21164	5.0	1.05195	1.01413	1.01059	1.00941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00607	0.00469	-0.30402	-1.76604	0.00842	0.00912	0.0	23.67217	22.12683	21.12211	20.45853	0.10328	3.34315	-1.01383	-0.47162	1.39447	3.29733	-0.63766	2.49483	-0.17099	-0.64983	-0.54266	3.94808	-0.74093	-0.84832	0.84283	-0.17821	-1.93713	0.65075	-0.30779	0.0	-0.30779	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	85.0	0.962	0.01016	0.00134	0.58824	2.00731	21.0	11.93948	9.32331	8.00691	7.21901	7.25249	6.32552	5.79668	5.46358	0.00065	0.00099	1.46168	0.94021	0.0	0.00097	0.00487	0.00519	1.35566	1.10093	0.00351	0.00491	0.0	11.28973	9.23342	8.28465	7.7278	-0.25401	1.99791	-0.44776	-0.68543	0.31333	2.28223	-0.05366	2.01158	-0.30061	-0.8773	0.34113	2.98167	0.20034	0.01367	0.14714	-0.19188	0.0278	0.69944	0.35403	0.6476	0.43015	0.28886	0.00065	0.11878	12.0	2.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	14.0	0.749	0.00971	0.001	0.58824	0.92432	15.0	6.43943	5.55753	5.23066	5.02225	4.41231	3.97552	3.67309	3.46462	0.00024	0.00039	1.59331	1.43216	0.0	0.00035	0.00524	0.00619	1.65193	1.35882	0.00263	0.00368	0.0	6.24192	5.53807	5.31777	5.18439	-1.73785	2.11079	0.14254	-1.15487	-2.20475	2.90288	-1.83167	2.12036	-0.08453	-0.87874	-1.61587	3.26564	-0.09382	0.00957	-0.22707	0.27614	0.58888	0.36276	0.4154	0.62865	-0.09311	0.53223	-0.21786	0.05748	10.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	6.0	0.103	0.00967	0.00067	0.58824	1.35417	11.0	1.61471	1.22013	1.16339	1.14404	1.96013	1.92308	1.88982	1.86081	0.00014	0.00031	1.82555	1.59509	0.0	0.0	0.00364	0.005	1.90416	2.59883	0.00158	0.00325	0.0	7.13786	5.9665	5.65898	5.5221	1.64582	3.50778	-0.94544	-0.39046	3.22555	3.79053	1.61215	3.51355	-0.59861	-0.29031	2.743	4.92769	-0.03368	0.00577	0.34683	0.10015	-0.48254	1.13717	0.42957	0.43346	0.17808	0.2728	-0.05518	0.3371	9.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	25.0	0.892	0.01168	0.00072	0.58824	1.67927	17.0	11.26644	9.65456	8.93558	8.51982	6.62684	6.3282	6.09365	5.90845	0.00025	0.00033	0.78711	-0.95853	0.0	0.00062	0.00581	0.00725	2.40876	5.78487	0.00281	0.00649	0.0	10.80579	9.43862	8.87699	8.56901	-1.70494	2.77048	-0.34272	-1.13751	-1.36517	4.77143	-1.41934	2.52672	0.11267	-0.69828	-1.5095	3.78161	0.28559	-0.24377	0.45539	0.43923	-0.14433	-0.98981	0.45276	0.07993	0.01349	0.21568	-0.29552	-0.50548	10.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	1.0
