S_m	J_m	speciation_rate	death_proportion	trait_rate_meta	ecological_strength	generations	community_assembly_model	speciation_model	mutation_rate	alpha	sequence_length	J	m	speciation_prob	generation	_lambda	migrate_calculated	extrate_calculated	trait_rate_local	filtering_optimum	S	abund_h1	abund_h2	abund_h3	abund_h4	pi_h1	pi_h2	pi_h3	pi_h4	mean_pi	std_pi	skewness_pi	kurtosis_pi	median_pi	iqr_pi	mean_dxys	std_dxys	skewness_dxys	kurtosis_dxys	median_dxys	iqr_dxys	trees	trait_h1	trait_h2	trait_h3	trait_h4	mean_local_traits	std_local_traits	skewness_local_traits	kurtosis_local_traits	median_local_traits	iqr_local_traits	mean_regional_traits	std_regional_traits	skewness_regional_traits	kurtosis_regional_traits	median_regional_traits	iqr_regional_traits	reg_loc_mean_trait_dif	reg_loc_std_trait_dif	reg_loc_skewness_trait_dif	reg_loc_kurtosis_trait_dif	reg_loc_median_trait_dif	reg_loc_iqr_trait_dif	abundance_dxy_cor	abundance_pi_cor	abundance_trait_cor	dxy_pi_cor	dxy_trait_cor	pi_trait_cor	SGD_0	SGD_1	SGD_2	SGD_3	SGD_4	SGD_5	SGD_6	SGD_7	SGD_8	SGD_9
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	11.0	0.478	0.01073	0.00182	0.58824	2.31127	14.0	4.32513	2.94961	2.5013	2.29771	1.9221	1.8546	1.79954	1.75636	7e-05	0.00018	2.37955	4.1502	0.0	0.0	0.0034	0.00369	1.20335	0.17938	0.00193	0.00364	0.0	6.15361	4.65169	4.17663	3.95646	0.6575	1.48074	0.21612	-0.54148	0.57011	1.5095	0.69444	1.52095	0.1497	-0.70379	0.75757	2.34745	0.03694	0.04021	-0.06642	-0.16231	0.18746	0.83794	0.0333	0.41113	0.30378	-0.213	0.11441	0.04327	12.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	8.0	0.353	0.0105	0.0005	0.58824	-0.77208	14.0	3.42545	2.17087	1.86981	1.75277	1.0	1.0	1.0	1.0	4e-05	0.00016	3.3282	9.07692	0.0	0.0	0.00358	0.00518	2.25129	4.36988	0.00184	0.00386	0.0	5.76669	4.33111	3.8842	3.67669	2.52878	1.89181	-0.97788	-0.15525	3.00024	1.67577	1.08783	2.86285	-0.66156	-0.342	1.68747	4.32822	-1.44095	0.97104	0.31632	-0.18675	-1.31277	2.65245	0.48673	0.37925	0.10352	0.38009	0.32451	-0.1032	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	10.0	0.495	0.0092	0.0002	0.58824	-1.80716	17.0	5.67028	3.35645	2.71192	2.45479	3.53545	3.11521	2.80963	2.61197	0.00012	0.00025	2.36337	5.00406	0.0	0.0	0.00315	0.00265	1.83337	3.81934	0.00281	0.00246	0.0	6.30143	5.00328	4.59189	4.39728	0.69592	1.75666	0.2196	0.75248	0.71767	1.59461	0.48733	2.98478	0.25324	-0.17361	0.15453	3.52539	-0.20859	1.22812	0.03364	-0.9261	-0.56314	1.93079	-0.17936	0.37802	0.81818	0.21832	-0.24265	0.46971	13.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	10.0	0.59	0.0104	0.001	0.58824	-0.55899	15.0	6.24407	4.20186	3.48522	3.14798	2.82025	2.70093	2.625	2.57654	0.00013	0.00028	1.85161	1.67922	0.0	0.0	0.00515	0.00526	2.00212	3.83325	0.00351	0.00456	0.0	7.64253	5.86376	5.15395	4.77591	1.38565	2.94434	-0.60745	-0.63078	1.84876	3.49791	2.07434	2.67322	-0.83122	-0.15506	2.79779	3.05596	0.68869	-0.27111	-0.22377	0.47572	0.94903	-0.44195	0.61717	0.27415	0.3059	0.35038	0.27143	0.05371	12.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	12.0	0.534	0.0085	0.00117	0.58824	1.2621	16.0	5.24093	3.43475	2.89746	2.65894	3.8442	3.7092	3.59908	3.51273	0.00012	0.00022	1.46264	0.49071	0.0	9e-05	0.00318	0.00414	1.55278	1.57307	0.00158	0.0043	0.0	6.17925	4.49922	3.88228	3.60833	-0.36461	2.33359	0.33932	1.85667	-0.24271	1.24753	0.03325	2.41901	0.48668	0.90315	-0.20023	2.63705	0.39786	0.08542	0.14736	-0.95353	0.04248	1.38952	0.39169	0.36521	0.43363	0.15977	0.21894	0.26342	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	3.0	0.034	0.01267	0.00067	0.58824	-2.33525	11.0	1.22493	1.06484	1.04837	1.04288	1.0	1.0	1.0	1.0	3e-05	0.0001	2.84605	6.1	0.0	0.0	0.00439	0.00475	1.32689	0.24037	0.00351	0.00316	0.0	19.80646	17.40794	16.02962	15.05085	0.71125	2.72829	-0.29854	-0.67042	1.78795	3.15332	0.81535	2.43656	-0.39263	0.02468	1.02461	2.8251	0.1041	-0.29172	-0.09409	0.6951	-0.76334	-0.32822	-0.08901	0.1026	0.34044	0.05023	0.09589	0.5	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.83	0.0088	0.00067	0.58824	3.78597	17.0	8.59696	7.02543	6.44305	6.09582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00335	0.00518	2.53628	6.11676	0.0014	0.00298	0.0	8.13576	6.90617	6.48211	6.24715	0.35651	2.10682	0.10369	-0.6216	0.10181	3.20947	0.77967	2.35614	0.0533	-0.42796	0.70263	3.53386	0.42316	0.24932	-0.05039	0.19364	0.60082	0.3244	0.42259	0.0	0.31637	0.0	0.11714	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	9.0	0.396	0.01022	0.00067	0.58824	5.1677	15.0	4.16795	2.47948	2.06857	1.91529	1.7967	1.65753	1.57143	1.51904	9e-05	0.00024	2.88846	7.02694	0.0	0.0	0.00219	0.00378	2.50933	5.66477	0.0007	0.00263	0.0	6.42046	5.08345	4.67122	4.48079	0.11808	2.2965	0.05049	-0.34673	0.08915	2.70351	0.63428	2.26779	0.07857	-0.52838	0.50426	2.83786	0.5162	-0.0287	0.02809	-0.18165	0.41512	0.13435	0.09656	0.24773	0.42181	0.30151	0.20568	0.1147	13.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	11.0	0.578	0.01	0.00018	0.58824	-0.13179	14.0	5.61174	3.94437	3.33766	3.04274	1.7967	1.65753	1.57143	1.51904	9e-05	0.00025	2.75762	6.25276	0.0	0.0	0.00513	0.00537	1.16424	0.40688	0.00325	0.00596	0.0	6.57127	5.18886	4.6604	4.34867	-1.14789	2.29946	0.04805	-1.30864	-1.08539	4.27326	-0.788	3.09907	0.58669	-0.31896	-1.16228	4.61022	0.35989	0.7996	0.53864	0.98968	-0.07689	0.33696	0.35242	0.29964	0.0044	-0.07581	0.28163	-0.32095	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	6.0	0.23	0.00967	0.0	0.58824	-2.68853	12.0	2.50198	1.62943	1.46171	1.40227	1.78233	1.63739	1.55027	1.49844	0.00011	0.00028	2.50804	4.86217	0.0	0.0	0.0038	0.00465	2.40769	4.82598	0.00237	0.00276	0.0	5.8209	4.90224	4.63415	4.50534	0.06402	3.89145	0.09944	-1.3714	0.26818	6.0784	-0.72433	3.29508	0.58636	-0.39244	-1.4712	4.76121	-0.78836	-0.59637	0.48693	0.97896	-1.73938	-1.31718	0.26667	0.11328	0.50527	-0.09138	-0.41958	-0.11826	10.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
