S_m	J_m	speciation_rate	death_proportion	trait_rate_meta	ecological_strength	generations	community_assembly_model	speciation_model	mutation_rate	alpha	sequence_length	J	m	speciation_prob	generation	_lambda	migrate_calculated	extrate_calculated	trait_rate_local	filtering_optimum	S	abund_h1	abund_h2	abund_h3	abund_h4	pi_h1	pi_h2	pi_h3	pi_h4	mean_pi	std_pi	skewness_pi	kurtosis_pi	median_pi	iqr_pi	mean_dxys	std_dxys	skewness_dxys	kurtosis_dxys	median_dxys	iqr_dxys	trees	trait_h1	trait_h2	trait_h3	trait_h4	mean_local_traits	std_local_traits	skewness_local_traits	kurtosis_local_traits	median_local_traits	iqr_local_traits	mean_regional_traits	std_regional_traits	skewness_regional_traits	kurtosis_regional_traits	median_regional_traits	iqr_regional_traits	reg_loc_mean_trait_dif	reg_loc_std_trait_dif	reg_loc_skewness_trait_dif	reg_loc_kurtosis_trait_dif	reg_loc_median_trait_dif	reg_loc_iqr_trait_dif	abundance_dxy_cor	abundance_pi_cor	abundance_trait_cor	dxy_pi_cor	dxy_trait_cor	pi_trait_cor	SGD_0	SGD_1	SGD_2	SGD_3	SGD_4	SGD_5	SGD_6	SGD_7	SGD_8	SGD_9
100	750000	2.0	0.7	2.0	1.0	15	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.062	0.00987	0.002	0.58824	2.2603	12.0	1.30285	1.08932	1.06648	1.05888	1.0	1.0	1.0	1.0	7e-05	0.00023	3.01511	7.09091	0.0	0.0	0.00487	0.00507	1.47022	1.36037	0.00289	0.00557	0.0	14.80618	13.0122	12.34605	11.96607	2.88272	2.4354	-0.28465	-0.72621	3.21297	2.2024	2.0482	2.30193	-0.22741	-0.66092	2.52689	3.37106	-0.83451	-0.13347	0.05725	0.06529	-0.68608	1.16866	0.49473	-0.17655	-0.0106	-0.13101	-0.30769	0.04367	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.09	0.01067	0.00267	0.58824	-4.48728	10.0	1.4668	1.16423	1.12221	1.10795	3.79054	3.62894	3.50508	3.40855	0.00026	0.00035	0.80507	-0.97974	0.0	0.00056	0.00814	0.01252	2.26527	3.81198	0.00368	0.00798	0.0	13.67173	10.06941	8.54773	7.78113	-2.20687	1.56698	-0.54451	-0.48141	-2.12648	2.19616	-1.70603	2.22627	0.83681	0.98757	-2.09903	3.42079	0.50084	0.65929	1.38133	1.46897	0.02745	1.22463	0.77067	-0.15504	-0.72174	0.10242	-0.49091	0.57354	6.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.08	0.0104	0.00293	0.58824	-9.24187	11.0	1.38515	1.13047	1.09724	1.086	3.0	3.0	3.0	3.0	0.0001	0.00016	1.02062	-0.95833	0.0	0.00018	0.00453	0.00852	2.5709	5.11005	0.00175	0.00289	0.0	9.07941	7.475	7.02356	6.83288	-4.28985	2.70466	0.2618	-1.31821	-4.38216	4.46075	-3.33121	3.21154	0.31731	-0.98824	-3.75234	5.44204	0.95865	0.50688	0.05552	0.32997	0.62982	0.98128	0.11215	0.32878	0.06483	0.13029	-0.06422	0.45185	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
100	750000	2.0	0.7	2.0	1.0	15	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.1	0.01147	0.00253	0.58824	3.27682	16.0	1.65088	1.20092	1.14816	1.13068	1.99409	1.98824	1.98248	1.97685	0.0001	0.00025	2.29811	3.34119	0.0	0.0	0.00269	0.00399	2.20207	4.45806	0.00123	0.00311	0.0	13.40963	10.55959	9.66741	9.22305	0.44504	1.80489	0.50393	-0.71091	-0.12771	2.5681	0.49207	2.58005	0.53557	0.33886	0.11696	2.86081	0.04703	0.77516	0.03164	1.04976	0.24468	0.29271	0.73049	0.57781	-0.35622	0.35543	-0.56446	-0.03068	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.072	0.01013	0.00187	0.58824	-3.07288	13.0	1.42405	1.12873	1.0955	1.08446	2.0	2.0	2.0	2.0	5e-05	0.00013	1.91881	1.68182	0.0	0.0	0.00389	0.0046	1.19768	0.41215	0.00193	0.00526	0.0	13.49372	11.75639	11.03449	10.50898	-1.83999	3.82731	0.0486	-0.93262	-2.17085	4.41954	-2.08374	3.47393	0.16332	-0.78777	-2.11279	5.27487	-0.24374	-0.35338	0.11472	0.14485	0.05805	0.85533	0.58568	0.57456	-0.14128	0.57779	-0.08915	-0.17094	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
100	750000	2.0	0.7	2.0	1.0	15	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.137	0.00933	0.002	0.58824	0.98863	12.0	1.78451	1.283	1.2092	1.18403	2.79076	2.62979	2.51169	2.42575	0.00016	0.0003	1.65583	1.2641	0.0	9e-05	0.0033	0.00322	1.47336	1.55086	0.00219	0.00338	0.0	7.1584	5.95077	5.61073	5.44878	-0.64665	2.96451	0.20349	-0.62177	-0.51039	3.59142	-0.98697	2.22701	-0.05481	0.47745	-0.8174	2.42932	-0.34032	-0.7375	-0.25829	1.09922	-0.30702	-1.16209	0.30282	0.59056	0.19332	0.28505	0.15762	0.23865	9.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.085	0.01013	0.00187	0.58824	0.1711	17.0	1.52901	1.16021	1.1186	1.10476	1.93491	1.87716	1.82855	1.78912	0.0001	0.00028	2.67927	5.68199	0.0	0.0	0.00447	0.00621	2.26737	4.82575	0.00211	0.00579	0.0	13.10577	10.91287	9.83798	9.16884	-3.99804	3.41812	-0.38147	0.38498	-3.85755	2.15994	-2.82381	2.97619	-0.32078	-0.07752	-2.87189	4.07657	1.17423	-0.44194	0.0607	-0.4625	0.98566	1.91664	0.31266	0.12556	0.18085	0.42086	-0.0663	-0.08314	15.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.06	0.00947	0.00227	0.58824	1.06488	9.0	1.2704	1.08899	1.06647	1.05888	2.82843	2.66667	2.52982	2.42283	0.00016	0.00024	1.23801	0.17036	0.0	0.00035	0.00684	0.0103	2.1944	3.34037	0.00421	0.00614	0.0	11.62407	9.59648	8.87558	8.4668	5.37142	1.9326	-0.69513	-0.60093	6.27223	2.01076	4.47081	2.68389	-0.23723	-0.17721	4.87527	3.57281	-0.90061	0.75129	0.4579	0.42372	-1.39696	1.56205	0.48725	0.37646	0.28091	-0.23505	0.47699	0.12948	6.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.089	0.00973	0.00253	0.58824	1.44177	13.0	1.50075	1.16232	1.1204	1.10635	1.54676	1.36226	1.2898	1.25699	0.00017	0.0005	3.00199	7.33278	0.0	0.0	0.0039	0.00512	2.72813	6.31469	0.00263	0.00175	0.0	10.44793	8.76041	8.04944	7.67503	1.41539	1.38992	0.16841	-0.05499	1.62321	1.85698	1.92147	1.97325	0.60399	0.47379	1.65271	2.28456	0.50608	0.58333	0.43558	0.52878	0.0295	0.42758	0.55473	0.38307	-0.07284	0.44552	0.0	0.62897	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.064	0.0084	0.0024	0.58824	3.312	12.0	1.39052	1.11698	1.08683	1.07683	1.0	1.0	1.0	1.0	3e-05	0.0001	3.01511	7.09091	0.0	0.0	0.00601	0.01171	2.70945	5.94706	0.00158	0.00658	0.0	14.09433	13.0883	12.61281	12.27084	0.72708	1.90754	0.7662	0.15648	0.48644	1.17402	0.49259	2.66102	0.42243	-0.54869	0.09585	4.34766	-0.2345	0.75349	-0.34377	-0.70517	-0.39059	3.17365	0.33096	-0.22068	0.11308	0.13194	-0.07042	-0.04367	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
